,ilocy,ilocx,TJan2.5 (degC),rlat,rlon,lat,lon,station_name,ratio,model_vals,best_tol
0,552,1011,257.34999999999997,-4.5177895001951045,10.457750487409273,42.0333,-82.9,HARROW CDA AUTO,0.9846412791196937,262.3154966415656,1.0036396586208232
1,552,1017,257.15,-4.549355282510455,10.75262827580764,41.9486,-82.5189,POINT PELEE CS,0.9663286898386717,267.07883241822407,1.0036396586208232
2,558,1009,256.54999999999995,-4.286848910227873,10.373390404111557,42.2756,-82.9556,WINDSOR A,0.9970702297663331,258.2403392783218,1.0036396586208232
3,560,1026,258.15,-4.166609944802487,11.147744256566659,42.2501,-81.9001,ERIEAU (AUT),0.9800307592825288,264.368822528226,1.0036396586208232
4,565,1026,253.84999999999997,-3.96806270606981,11.12134986160888,42.45,-81.8833,RIDGETOWN RCS,0.9750615650800126,261.29009332860886,1.0036396586208232
5,576,1017,256.95,-3.486279929701867,10.7154106074782,43.0,-82.3,SARNIA CLIMATE,0.9973484829390993,258.5708152106024,1.0036396586208232
6,579,1046,254.04999999999998,-3.3628448895127754,11.999925006386508,42.8667,-80.55,DELHI CS,0.9816668098744776,259.7364530488943,1.0036396586208232
7,580,1035,254.74999999999997,-3.290192648996729,11.534742415363127,43.033199999999994,-81.15055000000001,LONDON CS,0.9959415495932697,256.71908470740084,1.0036396586208232
8,583,1067,257.95,-3.1559533967418307,12.931509776541152,42.8667,-79.25,PORT COLBORNE (AUT),0.9996832983238333,258.970866448724,1.0036396586208232
9,585,1065,256.15,-3.0722090860744324,12.849483758257863,42.9667,-79.3333,WELLAND-PELHAM,1.0006101122569657,256.9255451315115,1.0036396586208232
10,587,1054,254.64999999999998,-2.9689855230488806,12.37546741076384,43.1717,-79.9342,HAMILTON A,0.9984438509497311,255.97517459262735,1.0036396586208232
11,590,1054,255.64999999999998,-2.847748537093577,12.367862378820393,43.2917,-79.9083,HAMILTON RBG CS,1.0035487780779457,255.67315145142328,1.0036396586208232
12,590,1063,257.84999999999997,-2.87199134716758,12.753426345960174,43.1833,-79.4,VINELAND STATION RCS,0.9865695880398941,262.3114366311832,1.0036396586208232
13,591,1056,257.65,-2.8224940050071763,12.44308227059991,43.3,-79.8,BURLINGTON PIERS (AUT),1.011023375064241,255.76832783636112,1.0036396586208232
14,592,1065,259.65,-2.777024958427152,12.868782847614893,43.25,-79.2167,PORT WELLER (AUT),0.9932681562081229,262.36121205751544,1.0036396586208232
15,595,1023,256.45,-2.652732378466715,10.985487811987579,43.7667,-81.7167,GODERICH,0.9992910012565688,257.5660044267993,1.0036396586208232
16,596,1044,252.34999999999997,-2.5766172477994584,11.930342238677156,43.65,-80.4167,ELORA RCS,0.9944325767476432,254.6864149214578,1.0036396586208232
17,599,1060,257.15,-2.438364375634918,12.65694142465902,43.6275,-79.3961,TORONTO CITY CENTRE,0.9976082136874901,258.70470458575477,1.0036396586208232
18,599,1061,256.45,-2.4371144169958994,12.657472533066505,43.6286,-79.395,TORONTO ISLAND A,0.9900100517223495,259.98058303098304,1.0036396586208232
19,600,1057,254.04999999999998,-2.4275243009702034,12.480315141272046,43.6772,-79.6306,TORONTO LESTER B. PEARSON INT'L A,1.0008927113059458,254.74723953173165,1.0036396586208232
20,600,1060,256.04999999999995,-2.4007826199030635,12.645432657636889,43.6667,-79.4,TORONTO CITY,0.9984429575501723,257.3826903646103,1.0036396586208232
21,603,1037,252.14999999999998,-2.300804570575231,11.625346633334846,43.9833,-80.75,MOUNT FOREST (AUT),0.992663596484318,254.9380684629936,1.0036396586208232
22,605,1060,252.84999999999997,-2.2053809803339703,12.62287891217746,43.8622,-79.37,TORONTO BUTTONVILLE A,0.9978612175822082,254.31421044416766,1.0036396586208232
23,611,1051,250.84999999999997,-1.9090728517835933,12.250936972318437,44.2333,-79.7833,EGBERT CS,0.9932765470608315,253.4671830418389,1.0036396586208232
24,611,1078,253.45,-1.9198534980984727,13.446682564305245,43.95,-78.1667,COBOURG (AUT),0.9836947451728955,258.5888282169676,1.0036396586208232
25,613,1095,253.14999999999998,-1.8540076319615553,14.186073428531435,43.8333,-77.15,POINT PETRE (AUT),0.9534502064511396,266.47577174013804,1.0036396586208232
26,616,1043,254.84999999999997,-1.7154697341383163,11.8907013659687,44.5,-80.2167,COLLINGWOOD,0.9978043638925824,256.34039723146793,1.0036396586208232
27,617,1087,250.74999999999997,-1.647919910661428,13.848380542642577,44.1167,-77.5333,TRENTON A,0.9834481889291021,255.8982234470453,1.0036396586208232
28,618,1028,254.34999999999997,-1.6065279350677362,11.219407227076683,44.7458,-81.1072,WIARTON A,0.9741027368544586,262.0624473292567,1.0036396586208232
29,618,1054,248.24999999999997,-1.628527286900477,12.358775206404447,44.4833,-79.55,BARRIE-ORO,0.9870527546644463,252.4217110739135,1.0036396586208232
30,619,1074,249.54999999999998,-1.553976091417733,13.258761953577883,44.35,-78.3,PETERBOROUGH TRENT U,0.9927380761401194,252.29039041459674,1.0036396586208232
31,620,1059,248.64999999999998,-1.5131887286064079,12.576260729874983,44.5472,-79.2167,LAGOON CITY,0.990042696634662,252.0648876703512,1.0036396586208232
32,623,1101,250.64999999999998,-1.376311952333183,14.470131745285059,44.2233,-76.5994,KINGSTON CLIMATE,0.9869337926918852,254.8927621043021,1.0036396586208232
33,627,1018,254.24999999999997,-1.2026810418927736,10.75774702274823,45.2333,-81.6333,TOBERMORY RCS,0.9551242345159165,267.1645990991677,1.0036396586208232
34,631,1112,249.95,-1.049403624583132,14.937137653778311,44.4167,-75.85,GRENADIER ISLAND,0.9970943738096767,251.59076137777737,1.0036396586208232
35,633,1053,245.04999999999998,-0.9647414367555113,12.31469598686252,45.1403,-79.4028,BEATRICE CLIMATE,0.9858422315092108,249.47389195178218,1.0036396586208232
36,635,1042,247.54999999999998,-0.864689730664254,11.829329505586019,45.3442,-80.0442,PARRY SOUND CCG,0.9872676374583021,251.65516225287817,1.0036396586208232
37,636,1112,248.24999999999997,-0.8193847573287739,14.948726330230892,44.6353,-75.7483,BROCKVILLE CLIMATE,0.9912315232868373,251.3575682363772,1.0036396586208232
38,637,1077,243.84999999999997,-0.7819622248401432,13.376963697208172,45.0714,-77.8789,BANCROFT AUTO,0.9790190485603598,249.98239933591935,1.0036396586208232
39,639,1000,248.14999999999998,-0.6883970505338951,9.992710779507949,45.8833,-82.5667,GORE BAY A,0.9615554677811837,259.0107275469552,1.0036396586208232
40,644,1017,249.54999999999998,-0.46295019102332147,10.716661964189273,45.9667,-81.4833,KILLARNEY (AUT),0.9771420061013061,256.31717318972767,1.0036396586208232
41,644,1112,247.95,-0.4461626144289343,14.929598665935082,45.0,-75.6333,KEMPTVILLE CS,0.9936840757878154,250.43417663479934,1.0036396586208232
42,645,1068,242.14999999999998,-0.39870248083069254,13.001626368921663,45.5333,-78.2667,ALGONQUIN PARK EAST GATE,0.9779127509992505,248.52047699214282,1.0036396586208232
43,647,968,248.34999999999997,-0.3282026503152139,8.56463998274487,46.4833,-84.5094,SAULT STE MARIE A,0.9749626465969828,255.65482953473054,1.0036396586208232
44,651,1109,248.34999999999997,-0.14229068458931268,14.818651720335906,45.3225,-75.6692,OTTAWA MACDONALD-CARTIER INT'L A,0.9983053597419205,249.67702195139762,1.0036396586208232
45,652,1108,248.74999999999997,-0.0926557441963778,14.770203286375427,45.3833,-75.7167,OTTAWA CDA RCS,1.0005600787362086,249.51561669066933,1.0036396586208232
46,653,1132,248.14999999999998,-0.06746642402228695,15.808409118577105,45.1208,-74.2894,ST-ANICET 1,0.9953970823626128,250.20485362044667,1.0036396586208232
47,657,1141,248.04999999999998,0.1010906457365428,16.207356591627608,45.1672,-73.6789,STE-CLOTILDE,0.9945702887042566,250.31193888290713,1.0036396586208232
48,658,1081,243.74999999999997,0.16636607784747412,13.543748046258958,45.95,-77.3167,PETAWAWA A,0.987637369908465,247.69938263018418,1.0036396586208232
49,658,1154,248.14999999999998,0.14685930964715913,16.805827936033086,45.0333,-72.85,FRELIGHSBURG,0.9963520192331998,249.96504897780054,1.0036396586208232
50,660,1046,244.84999999999997,0.2247059616752298,12.02855117692835,46.3636,-79.4228,NORTH BAY A,0.9987008568182743,246.06083867416177,1.0036396586208232
51,661,1024,244.45,0.27785930544065024,11.04782465123829,46.6256,-80.7978,SUDBURY A,1.0002271391175135,245.28400095834235,1.0036396586208232
52,661,1135,249.45,0.29875596700283863,15.963370852402406,45.4272,-73.9292,STE-ANNE-DE-BELLEVUE 1,1.0039882010040915,249.36340147481877,1.0036396586208232
53,661,1145,249.04999999999998,0.2903801318541239,16.391939646159297,45.2939,-73.3494,L'ACADIE,1.0009585887103405,249.71708100488553,1.0036396586208232
54,663,1107,246.74999999999997,0.3596178026937318,14.694185981330756,45.8394,-75.6481,HIGH FALLS,0.9975391813555338,248.25900615569267,1.0036396586208232
55,663,1138,249.34999999999997,0.3730154780297401,16.072237754624673,45.4667,-73.75,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,1.0049112859279221,249.03446939200967,1.0036396586208232
56,664,1140,250.84999999999997,0.4443307640007551,16.175667448413403,45.5047,-73.5792,MCTAVISH,1.0117036215209474,248.8505556464697,1.0036396586208232
57,665,1279,261.95,0.4811565488031293,22.31106611525627,43.4508,-65.4717,BACCARO PT,0.9538665864184084,275.6186371543614,1.0036396586208232
58,666,1132,246.45,0.5070676872066261,15.82450983689447,45.6667,-74.0333,MONTREAL/MIRABEL INT'L A,0.9950556201380166,248.576048274361,1.0036396586208232
59,666,1142,248.54999999999998,0.4892824791896059,16.280985270212184,45.5167,-73.4167,MONTREAL/ST-HUBERT A,1.0033866864028482,248.61266402138844,1.0036396586208232
60,667,1140,249.45,0.5739740654349754,16.155016062532308,45.6347,-73.5531,MONTREAL-EST,1.007566231254074,248.4778718033798,1.0036396586208232
61,668,1049,246.54999999999998,0.6116695306403618,12.166449577432108,46.7097,-79.1011,BARRAGE TEMISCAMINGUE,1.0082167281792225,245.43072031728605,1.0036396586208232
62,669,1266,259.15,0.6616967255468574,21.753266688790557,43.8308,-66.0886,YARMOUTH A,0.94222892812571,276.0403653164905,1.0036396586208232
63,670,1142,249.04999999999998,0.6947422191111929,16.24677900758758,45.7231,-73.3767,VARENNES,1.0072135855634499,248.16628822543802,1.0036396586208232
64,670,1167,247.14999999999998,0.6886805319462729,17.390734475406397,45.3689,-71.8236,LENNOXVILLE,0.9970416956840042,248.78552492026532,1.0036396586208232
65,671,1099,244.64999999999998,0.7156331962537236,14.348255532286624,46.2747,-75.9919,MANIWAKI AIRPORT,0.9946019267511071,246.87308145847712,1.0036396586208232
66,672,1140,246.74999999999997,0.7652575197208127,16.182646599358296,45.8094,-73.4347,L'ASSOMPTION,0.9988947458447475,247.92210269887497,1.0036396586208232
67,672,1169,244.54999999999998,0.7807929838028224,17.463999638422727,45.4333,-71.6833,SHERBROOKE A,0.9871448799421692,248.63632836762636,1.0036396586208232
68,673,1122,242.04999999999998,0.8000267506142459,15.358025625125332,46.0803,-74.5558,ST-JOVITE,0.9812807923505372,247.56520382637777,1.0036396586208232
69,673,1126,244.74999999999997,0.8244980392844867,15.547958374592634,46.05,-74.2833,STE AGATHE DES MONTS,0.9914454024480213,247.7602960696817,1.0036396586208232
70,677,1258,260.45,1.0130631992300436,21.40976422531739,44.2858,-66.3467,BRIER ISLAND,0.949893772857945,275.1865066988759,1.0036396586208232
71,679,959,242.14999999999998,1.1072814606393633,8.146944438375767,47.9667,-84.7833,WAWA (AUT),0.9612725510349177,252.8225143570175,1.0036396586208232
72,680,890,243.24999999999997,1.1206948848156557,5.08967868562008,48.3694,-89.3272,THUNDER BAY COMPOSITE,0.995459449886368,245.24891193446737,1.0036396586208232
73,682,828,239.54999999999998,1.2049970734234212,2.3522807896207825,48.6511,-93.4389,FORT FRANCES RCS,0.9932292800822761,242.0608061440782,1.0036396586208232
74,682,1145,248.24999999999997,1.2293698580048833,16.414836345231127,46.1833,-72.9167,LAC SAINT-PIERRE,1.0076194842274022,247.26947935475778,1.0036396586208232
75,682,1286,257.54999999999995,1.2052549376769126,22.638199832678378,43.99,-64.6642,WESTERN HEAD,0.9695769857803451,266.59811223732214,1.0036396586208232
76,684,1149,247.54999999999998,1.324199050408167,16.57320591671965,46.2258,-72.6572,NICOLET,1.0053522447685181,247.12830630700037,1.0036396586208232
77,684,1248,254.54999999999998,1.2872699655585567,20.949284627149368,44.7121,-66.8019,GRAND MANAN SAR CS,0.932355044186535,274.0120050777756,1.0036396586208232
78,686,854,239.64999999999998,1.3834345065619407,3.5392528701002495,48.7611,-91.6281,ATIKOKAN (AUT),0.9948857476036679,241.75865898955158,1.0036396586208232
79,687,1033,241.54999999999998,1.4595491108337588,11.452173427425658,47.695,-79.8489,EARLTON AWOS,0.9952895361407169,243.57651792451327,1.0036396586208232
80,687,1171,246.14999999999998,1.457289482635501,17.54437759271552,46.0492,-71.2661,THETFORD MINES RCS,0.9965923407682887,247.89062875906112,1.0036396586208232
81,687,1274,255.64999999999998,1.434103189847353,22.120804518571795,44.4031,-65.2031,KEJIMKUJIK 1,0.9876998849351496,259.7757503467361,1.0036396586208232
82,688,771,242.34999999999997,1.500238175261201,-0.1558671941190945,49.0,-97.2375,EMERSON AUT,1.0055748336703685,241.883610371348,1.0036396586208232
83,688,1150,248.54999999999998,1.4756375012611829,16.62712774062688,46.3536,-72.5161,TROIS-RIVIERES,1.01090159128398,246.76451130457207,1.0036396586208232
84,689,766,241.74999999999997,1.5321233667437582,-0.36729378923272993,49.0308,-97.56,GRETNA (AUT),1.002087810309074,242.12437769974434,1.0036396586208232
85,689,795,239.24999999999997,1.5318919790453405,0.9194384967178424,49.0236,-95.5983,SPRAGUE,0.99243756349964,241.9505237974792,1.0036396586208232
86,689,1157,243.45,1.5250089118547172,16.941728866058813,46.3036,-72.0608,LEMIEUX,0.9892291430884814,246.99643818458026,1.0036396586208232
87,690,934,245.14999999999998,1.574749328215675,7.060568712750296,48.5883,-86.2947,PUKASKWA (AUT),0.9807040137627734,250.8833030741638,1.0036396586208232
88,691,1146,247.14999999999998,1.629841227873155,16.420695952523612,46.5633,-72.7333,SHAWINIGAN,1.006095505606282,246.54671474619062,1.0036396586208232
89,691,1237,250.24999999999997,1.6327445144993025,20.468933678433057,45.2102,-67.2529,ST. STEPHEN,0.9687053082472782,259.27474788416043,1.0036396586208232
90,692,1288,258.65,1.649603054462942,22.733902481009608,44.36,-64.2961,LUNENBURG,0.9677440655772444,268.24385386174765,1.0036396586208232
91,693,746,241.54999999999998,1.7062631912498636,-1.2453482523306831,49.191,-98.9049,PILOT MOUND (AUT),0.9997929473573323,242.4793655332859,1.0036396586208232
92,693,758,245.04999999999998,1.692542360181509,-0.7087051597006615,49.1876,-98.0839,MORDEN CDA CS,1.014972177855895,242.3139310720607,1.0036396586208232
93,693,871,239.24999999999997,1.713228400126756,4.279978525302254,49.0333,-90.4667,UPSALA (AUT),0.9935217084679797,241.68650395702025,1.0036396586208232
94,693,1177,246.34999999999997,1.7124441297757003,17.80970706466286,46.205,-70.785,BEAUCEVILLE,0.998698878136627,247.56874701066317,1.0036396586208232
95,693,1250,253.74999999999997,1.7154081076878958,21.04652747769824,45.0731,-66.4492,POINT LEPREAU CS,0.9471192356155728,268.8928213030229,1.0036396586208232
96,696,649,242.45,1.8530276791510933,-5.551048048175222,49.05,-105.48299999999999,CORONACH SPC,0.9924055750099492,245.19454682646165,1.0036396586208232
97,696,716,240.64999999999998,1.847991952515984,-2.6003980818173,49.2813,-100.986,MELITA,0.9971202783142828,242.22341988212418,1.0036396586208232
98,697,686,240.84999999999997,1.8662740844535828,-3.895667948011195,49.2167,-102.96700000000001,ESTEVAN A,0.9941653385090019,243.14528219355785,1.0036396586208232
99,697,1029,239.54999999999998,1.8818189500908733,11.254690971329046,48.15,-80.0,KIRKLAND LAKE CS,0.9901798444592491,242.80627561543216,1.0036396586208232
100,698,755,245.24999999999997,1.9070904135438949,-0.8589369087912421,49.3998,-98.3192,DEERWOOD RCS,1.0161176479304483,242.2383144098339,1.0036396586208232
101,698,1156,244.34999999999997,1.912047650760465,16.87935615011807,46.6908,-71.9717,DESCHAMBAULT,0.9959354436663226,246.24020778013693,1.0036396586208232
102,699,902,244.45,1.9686975720163602,5.651807495974578,49.1539,-88.3447,CAMERON FALLS (AUT),1.014077466259539,241.93389826006538,1.0036396586208232
103,700,618,240.45,2.0296618475819366,-6.918639867745951,49.0583,-107.586,VAL MARIE SOUTHEAST,0.9810016527028739,245.99872513004783,1.0036396586208232
104,700,642,243.74999999999997,2.0064448994585153,-5.860683129353336,49.1678,-105.979,ROCKGLEN (AUT),0.9977604464076231,245.18627459088714,1.0036396586208232
105,700,759,242.14999999999998,2.002533166016492,-0.6691504847160616,49.4981,-98.0297,CARMAN U OF M CS,1.004360262537539,241.97626329919515,1.0036396586208232
106,701,744,242.95,2.0801589967613805,-1.3458944110379816,49.5622,-99.0739,CYPRESS RIVER RCS,1.0057046651229822,242.45115242864244,1.0036396586208232
107,701,1273,255.54999999999998,2.0477520185861904,22.08183244528817,44.9833,-64.9167,GREENWOOD A,0.9642535899564295,265.9882394341312,1.0036396586208232
108,702,1007,239.34999999999997,2.1028662985791216,10.272256140147682,48.5697,-81.3767,TIMMINS VICTOR POWER A,0.9919679402244601,242.16624605482446,1.0036396586208232
109,702,1043,242.45,2.11790965152228,11.861579221272638,48.2458,-79.0342,ROUYN,1.0025741289897325,242.70767437198708,1.0036396586208232
110,702,1046,239.14999999999998,2.120200427078108,11.998605728555281,48.2167,-78.8333,ROUYN A,0.9888985288758034,242.7149170016757,1.0036396586208232
111,702,1256,250.54999999999998,2.0923818993230565,21.32172942210499,45.3181,-65.8856,SAINT JOHN A,0.9478141206472019,265.3072063283251,1.0036396586208232
112,702,1297,258.5,2.102589078223253,23.13324259206544,44.6139,-63.5283,MCNABS ISLAND (AUT),0.9756901121497673,265.9049717966793,1.0036396586208232
113,703,1062,239.54999999999998,2.1295758090215102,12.715646487269279,48.0564,-77.7867,VAL-D'OR A,0.991222377196378,242.55090053822153,1.0036396586208232
114,703,1164,246.95,2.1447730523095254,17.227659227146034,46.8018,-71.3825,QUEBEC/JEAN LESAGE INTL A,1.0091351924671377,245.6051632591175,1.0036396586208232
115,703,1165,248.45,2.14518437871605,17.296210159902433,46.7803,-71.2875,STE-FOY (U. LAVAL),1.01513278750674,245.63709915899835,1.0036396586208232
116,703,1297,256.9,2.128953378684263,23.140941254444094,44.63485,-63.50335,SHEARWATER A,0.9702769961173895,265.73342388970246,1.0036396586208232
117,704,822,242.54999999999998,2.2086745166837503,2.115654319335818,49.6642,-93.7328,RAWSON LAKE (AUT),1.0088031652402585,241.30852041934685,1.0036396586208232
118,705,1166,248.74999999999997,2.2186124972632277,17.336633694257245,46.8369,-71.1972,BEAUPORT,1.016967334815899,245.49005315605808,1.0036396586208232
119,705,1279,255.64999999999998,2.245163530071908,22.330642996726787,45.0667,-64.4833,KENTVILLE CDA CS,0.9894911423582841,259.3054831343891,1.0036396586208232
120,707,813,241.45,2.3191516259454263,1.7019727769211224,49.7903,-94.3653,KENORA A,1.0057500259362475,240.94336497621777,1.0036396586208232
121,708,576,245.45,2.3773939182474364,-8.775282388866069,49.1167,-110.46700000000001,ONEFOUR CDA,0.9980879359221052,246.81528084085232,1.0036396586208232
122,708,675,240.84999999999997,2.392352772509108,-4.39599211308612,49.7,-103.8,WEYBURN,0.9953852123017696,242.84730051378472,1.0036396586208232
123,708,773,245.24999999999997,2.3883694702034233,-0.08344225224319311,49.8883,-97.1294,WINNIPEG THE FORKS,1.0231568013957977,240.57175394911843,1.0036396586208232
124,708,1295,254.45,2.353824406162802,23.043207937173968,44.88,-63.5,HALIFAX STANFIELD INT'L A,0.9763818307165192,261.5535266040954,1.0036396586208232
125,709,740,240.34999999999997,2.4288455569653005,-1.5193890618839296,49.9058,-99.3574,CARBERRY CS,0.9956264848695939,242.2844265549145,1.0036396586208232
126,709,756,242.7,2.4082970065400016,-0.822175238613512,49.90155,-98.27539999999999,PORTAGE SOUTHPORT A,1.0082104004765269,241.5997147342906,1.0036396586208232
127,709,771,241.04999999999998,2.4169256900823712,-0.15035553299554535,49.9167,-97.2333,WINNIPEG RICHARDSON INT'L A,1.005110910088281,240.69715817660403,1.0036396586208232
128,709,1139,241.64999999999998,2.4266194219063992,16.12848954456477,47.4111,-72.7875,LA TUQUE,0.9904943800406918,244.85704148645266,1.0036396586208232
129,709,1242,249.14999999999998,2.4355673986902304,20.695842322706284,45.8721,-66.5279,FREDERICTON A,0.994848956825898,251.35154359833024,1.0036396586208232
130,710,732,239.95,2.4461289022730366,-1.9022360052764455,49.91,-99.9519,BRANDON A,0.9951937883451234,241.98637381622336,1.0036396586208232
131,710,1241,250.14999999999998,2.4592027999967008,20.625475230667618,45.9203,-66.6089,FREDERICTON CDA CS,0.9991771751798272,251.26720950047144,1.0036396586208232
132,711,1240,250.34999999999997,2.488051035602571,20.57950507371926,45.9642,-66.6547,FREDERICTON AQUATIC CENTRE C/S,1.0002083455990265,251.20885027733127,1.0036396586208232
133,712,599,244.45,2.537436513099903,-7.770754446701081,49.4378,-108.98899999999999,EASTEND CYPRESS (AUT),0.9979706281033537,245.8386125212213,1.0036396586208232
134,712,644,242.64999999999998,2.5616572968723665,-5.774769190126448,49.7292,-105.946,ASSINIBOIA AIRPORT,0.9962663925235538,244.44582793510733,1.0036396586208232
135,712,1109,238.64999999999998,2.554484863956163,14.795047971056874,47.9222,-74.6242,PARENT,0.9848466427532593,243.20396103524897,1.0036396586208232
136,712,1171,248.84999999999997,2.5392780243252058,17.527497992979473,47.0786,-70.7808,CAP-TOURMENTE,1.0173677066248015,245.49209437399617,1.0036396586208232
137,712,1355,264.45,2.558199415687226,25.705259485464225,43.9322,-60.0094,SABLE ISLAND,0.9629701995319575,275.618609850313,1.0036396586208232
138,713,553,244.95,2.5820012344151984,-9.791876818087163,49.1333,-112.05,MILK RIVER,0.9931181893389178,247.54509283816287,1.0036396586208232
139,713,1268,253.34999999999997,2.605983214039064,21.81846865676879,45.6,-64.95,FUNDY PARK (ALMA) CS,0.996150018992006,255.25483377381337,1.0036396586208232
140,713,1278,252.64999999999998,2.601610143838706,22.28150390075132,45.4133,-64.3461,PARRSBORO,0.9976323721443915,254.1713429021034,1.0036396586208232
141,714,1313,258.04999999999995,2.6382692426494847,23.823232593596096,44.8167,-62.3333,BEAVER ISLAND (AUT),0.9518800498647886,272.0817753706383,1.0036396586208232
142,715,754,242.34999999999997,2.69047932872118,-0.8860081616431726,50.1826,-98.3822,DELTA MARSH CS,1.0078866504426751,241.32879541556204,1.0036396586208232
143,715,788,239.24999999999997,2.6808083374383638,0.5996210592201111,50.1772,-96.0647,PINAWA,0.9974166611056223,240.74270832699085,1.0036396586208232
144,715,921,237.14999999999998,2.703334463357099,6.489334819136607,49.7828,-86.9306,GERALDTON A,0.987578710536128,241.0067597677533,1.0036396586208232
145,715,1163,241.74999999999997,2.6894220377912768,17.21183514335496,47.3228,-71.1483,FORET MONTMORENCY RCS,0.9887479833713285,245.3910314378495,1.0036396586208232
146,716,848,239.24999999999997,2.724053173483273,3.2714077284853,50.1167,-91.9,SIOUX LOOKOUT A,0.9987753470948371,240.41521351470809,1.0036396586208232
147,716,1309,252.24999999999997,2.745014568619623,23.65676532780182,44.9833,-62.4833,MALAY FALLS,0.9440746460915739,268.1653457543925,1.0036396586208232
148,717,592,244.74999999999997,2.791091450100094,-8.07580326635713,49.6406,-109.514,CYPRESS HILLS PARK,0.9994298945173533,245.78092750174517,1.0036396586208232
149,717,987,238.14999999999998,2.7894631980448867,9.423677975689014,49.4064,-82.4436,KAPUSKASING CDA ON,0.9897174833697571,241.50001259627408,1.0036396586208232
150,717,1171,245.14999999999998,2.765421761788179,17.55235818730697,47.2842,-70.6375,CHARLEVOIX (MRC),1.002586110828929,245.40761103050718,1.0036396586208232
151,718,528,244.95,2.812988203747359,-10.92062877066302,49.1311,-113.809,WATERTON PARK GATE,0.9992725095486183,246.02051195246005,1.0036396586208232
152,718,536,245.84999999999997,2.8090390132346363,-10.571265786085739,49.2006,-113.286,CARDSTON,1.0003061018183323,246.66930414940242,1.0036396586208232
153,718,987,238.74999999999997,2.7939506024780143,9.406987093709729,49.4139,-82.4675,KAPUSKASING A,0.9925374203788875,241.42058886228216,1.0036396586208232
154,718,1298,252.34999999999997,2.804635508720081,23.185237070177262,45.2331,-63.0553,UPPER STEWIACKE RCS,0.9902502241132702,255.7620909197537,1.0036396586208232
155,719,1291,251.95,2.853505215275901,22.845728161553936,45.4167,-63.4667,DEBERT,0.9913639571958577,255.06980575001782,1.0036396586208232
156,720,1161,239.45,2.8986000488602337,17.08311893214299,47.5622,-71.2289,L'ETAPE,0.981881513282167,244.75612689093782,1.0036396586208232
157,721,663,241.64999999999998,2.945341829186303,-4.932903235660575,50.2006,-104.71,BRATT'S LAKE CLIMATE,0.999732778578009,242.5943499128726,1.0036396586208232
158,721,961,237.64999999999998,2.9296590159790448,8.264570518409494,49.7468,-84.1637,NAGAGAMI (AUT),0.9888670754135234,241.20022882903314,1.0036396586208232
159,721,1179,249.95,2.968983998361158,17.9164480090112,47.3558,-70.0319,LA POCATIERE,1.0194424736033132,246.07541785618167,1.0036396586208232
160,721,1276,252.95,2.9483979876506776,22.21049334934004,45.7596,-64.2414,NAPPAN AUTO,1.0001335647361302,253.83674800986913,1.0036396586208232
161,722,694,240.04999999999998,2.995535908365118,-3.5550168868492085,50.3681,-102.571,BROADVIEW,0.9969289331426104,241.6658721023041,1.0036396586208232
162,722,723,239.45,3.008132497519388,-2.2962437089641146,50.4549,-100.603,SHOAL LAKE CS,0.995107828701872,241.50299025408924,1.0036396586208232
163,722,760,241.45,3.003904372048266,-0.6603151832297092,50.4995,-98.0367,OAKPOINT MARINE,1.0051833915024848,241.07918776073282,1.0036396586208232
164,723,594,242.64999999999998,3.044682502865987,-8.003292419347964,49.9025,-109.46600000000001,MAPLE CREEK,0.9916593496579797,245.58147235574046,1.0036396586208232
165,723,789,241.95,3.0264850883257903,0.6511626422645601,50.5222,-95.9772,GREAT FALLS CLIMATE,1.0090636160304427,240.64946109005493,1.0036396586208232
