,ilocy,ilocx,RL50 (kPa),rlat,rlon,lat,lon,station_name,ratio,model_vals,best_tol
0,558,1009,0.402,-4.286848910227873,10.373390404111557,42.2756,-82.9556,WINDSOR A,1.2797630873442443,0.282395783696469,0.8990042288467428
1,559,1009,0.484,-4.227125340313413,10.379271031382924,42.3333,-82.9333,WINDSOR RIVERSIDE,1.5440026024023203,0.28181173146005156,0.8990042288467428
2,576,1017,0.389,-3.4945859613826147,10.7134921602455,42.9922,-82.3047,SARNIA AIRPORT,1.2220364050433468,0.28617203511950884,0.8990042288467428
3,577,1048,0.47,-3.434479081735439,12.106219211616422,42.774390000000004,-80.42905999999999,HAGERSVILLE 2 composite,1.316365116494127,0.3209838837748131,0.8990042288467428
4,579,1046,0.5870000000000001,-3.3628448895127754,11.999925006386508,42.8667,-80.55,DELHI CDA,1.6642630737770219,0.31708657762585285,0.8990042288467428
5,579,1050,0.446,-3.335374154899144,12.206799132067156,42.85,-80.2667,SIMCOE,1.2482718582887886,0.3212087842910305,0.8990042288467428
6,580,1035,0.45799999999999996,-3.290371679059054,11.534368202439223,43.0331,-81.1511,LONDON INT'L AIRPORT,1.2867604377826143,0.3199849208305924,0.8990042288467428
7,580,1037,0.491,-3.3033197995587598,11.625518178228763,43.001999999999995,-81.0328,DORCHESTER,1.374582562525943,0.3211237275937871,0.8990042288467428
8,580,1051,0.34,-3.2976268496041468,12.223659162002475,42.8833,-80.2333,WATERFORD,0.9408273973502905,0.32488577465829066,0.8990042288467428
9,587,1054,0.423,-2.9689855230488806,12.37546741076384,43.1717,-79.9342,HAMILTON A,1.180102006439381,0.32224230340015625,0.8990042288467428
10,590,1054,0.397,-2.851997203751697,12.387474338992014,43.2833,-79.8833,HAMILTON RBG,1.1077111708334746,0.3222001260343085,0.8990042288467428
11,591,1066,0.309,-2.817509219258394,12.915619247015943,43.2,-79.1667,ST CATHARINES A,0.8979917650770116,0.30934838994856495,0.8990042288467428
12,592,1046,0.467,-2.767016061611644,11.996249233882299,43.45,-80.3833,WATERLOO WELLINGTON A,1.2804358347467608,0.32788443081527946,0.8990042288467428
13,594,1044,0.41700000000000004,-2.666314502571736,11.94129167027309,43.56001071,-80.42801786,GUELPH OAC composite,1.1394572860246877,0.3290029104443056,0.8990042288467428
14,598,1059,0.406,-2.4868552600065392,12.60189887608841,43.59246944,-79.48505417,TORONTO NEW INT'L A composite,1.1355959250558045,0.32141337324175523,0.8990042288467428
15,599,1061,0.396,-2.4371144169958994,12.657472533066505,43.6286,-79.395,TORONTO ISLAND A,1.1082395540489658,0.32123530812687506,0.8990042288467428
16,600,1057,0.373,-2.4275243009702034,12.480315141272046,43.6772,-79.6306,TORONTO LESTER B. PEARSON INT'L A,1.0356473671011857,0.32378644315818794,0.8990042288467428
17,600,1060,0.436,-2.4007826199030635,12.645432657636889,43.6667,-79.4,TORONTO,1.2173912467314285,0.3219719583408934,0.8990042288467428
18,602,1053,0.494,-2.327916851748337,12.32637283896129,43.8081,-79.8081,SANDHILL,1.3636418354196633,0.3256779584747896,0.8990042288467428
19,603,1037,0.401,-2.300804570575231,11.625346633334846,43.9833,-80.75,MOUNT FOREST,1.110632206767639,0.32459052922365506,0.8990042288467428
20,603,1059,0.376,-2.3012399580428746,12.57237144415825,43.78,-79.4678,TORONTO NORTH YORK,1.0437298364041259,0.32386310926105766,0.8990042288467428
21,605,1058,0.415,-2.2032653790882666,12.564815949223863,43.8772,-79.4478,RICHMOND HILL,1.147415204472837,0.32515409724137956,0.8990042288467428
22,605,1060,0.41200000000000003,-2.2053809803339703,12.62287891217746,43.8622,-79.37,TORONTO BUTTONVILLE A,1.1415436056767627,0.3244639455233714,0.8990042288467428
23,608,1038,0.258,-2.068590235243496,11.658569176059126,44.2036,-80.6378,PRICEVILLE,0.7250928253191908,0.3198805490046832,0.8990042288467428
24,609,1050,0.365,-2.0028898354841,12.2065379573681,44.1514,-79.8722,ALLISTON NELSON,1.0267583818271135,0.3195849669570197,0.8990042288467428
25,611,1027,0.36,-1.9374790458624405,11.156459894997607,44.43423333,-81.2871,WALKERTON composite,1.079461031981089,0.29981769864435204,0.8990042288467428
26,611,1053,0.35700000000000004,-1.9211289341184725,12.318754222071837,44.2067,-79.6947,COOKSTOWN,0.9921621792323584,0.32347988707511893,0.8990042288467428
27,616,1053,0.442,-1.7233069520001558,12.319592020167152,44.3995,-79.6328,SHANTY BAY,1.221787153008585,0.3252283903720734,0.8990042288467428
28,616,1086,0.493,-1.7037724583668714,13.763648867181702,44.0833,-77.6667,SMITHFIELD CDA,1.1491747759018778,0.38567595992838566,0.8990042288467428
29,617,1071,0.49,-1.6437599584267275,13.111996013499192,44.29722,-78.52882667,HALIBURTON A composite,1.189806770350261,0.3702383303847093,0.8990042288467428
30,617,1074,0.37799999999999995,-1.6786484471005159,13.239909508912735,44.2333,-78.3667,PETERBOROUGH A,0.9053387665839675,0.3753551831059817,0.8990042288467428
31,617,1087,0.444,-1.647919910661428,13.848380542642577,44.1167,-77.5333,TRENTON A,1.0218334775192066,0.39062908623528747,0.8990042288467428
32,618,1028,0.348,-1.6065279350677362,11.219407227076683,44.7458,-81.1072,WIARTON A,0.9779389711456218,0.31991103828510836,0.8990042288467428
33,619,1089,0.441,-1.5905322191931184,13.936456970299941,44.1506,-77.3947,BELLEVILLE,0.9898274296111161,0.4005353388490914,0.8990042288467428
34,623,1084,0.499,-1.39563263390509,13.715114449914411,44.39395238,-77.62724286,STIRLING composite,1.113275431524825,0.4029578822017875,0.8990042288467428
35,623,1102,0.516,-1.3803565049833204,14.473210899310928,44.2186,-76.5967,KINGSTON A,1.1323892698743427,0.40965257657059495,0.8990042288467428
36,627,1099,0.48,-1.1950455367128394,14.354715693013972,44.4281,-76.6903,HARTINGTON IHD,1.0424130398701745,0.41396453549754103,0.8990042288467428
37,629,1055,0.46799999999999997,-1.1177117079756498,12.424309244301325,44.9667,-79.3,MUSKOKA A,1.1707278482212795,0.35937812510354894,0.8990042288467428
38,633,1067,0.502,-0.929498972966488,12.938661086656456,45.0322,-78.5311,HALIBURTON 3,1.2105915934149993,0.37279304212577336,0.8990042288467428
39,637,1052,0.48,-0.7779930357615851,12.262381226920443,45.33400909,-79.41611818,BURKS FALLS composite,1.1751515778635762,0.36720542096445374,0.8990042288467428
40,637,1111,0.0,-0.7598144491788071,14.912663873584123,44.7023375,-75.7747875,SOUTH MOUNTAIN composite,0.0,0.3819761711522813,0.8990042288467428
41,639,1000,0.371,-0.6883970505338951,9.992710779507949,45.8833,-82.5667,GORE BAY A,0.9171557690323944,0.3636574943578217,0.8990042288467428
42,640,1059,0.469,-0.6480473584073168,12.604555155685231,45.3833,-78.9,DWIGHT,1.1856433907970654,0.3556153448851713,0.8990042288467428
43,642,1043,0.59,-0.5742533922365206,11.880619147076752,45.6167,-79.8833,DUNCHURCH,1.392223378406711,0.38098232169222235,0.8990042288467428
44,647,968,0.355,-0.3282026503152139,8.56463998274487,46.4833,-84.5094,SAULT STE MARIE A,1.0247641579295743,0.31143409805178474,0.8990042288467428
45,651,1109,0.46,-0.14229068458931268,14.818651720335906,45.3225,-75.6692,OTTAWA MACDONALD-CARTIER INT'L A,1.1063286201672249,0.3737966619782408,0.8990042288467428
46,652,1108,0.491,-0.0926557441963778,14.770203286375427,45.3833,-75.7167,OTTAWA CDA,1.1890568777024169,0.3712278904745731,0.8990042288467428
47,652,1134,0.41200000000000003,-0.11059958944123897,15.91164378309388,45.05,-74.1667,HUNTINGDON,0.9805940217741834,0.3777197637965546,0.8990042288467428
48,653,1111,0.506,-0.08342891017602053,14.878650645037006,45.36306667,-75.56446667,OTTAWA ROCKCLIFFE A composite,1.2117578309018082,0.37540185686929817,0.8990042288467428
49,653,1131,0.42700000000000005,-0.06763698819223248,15.76386408140092,45.1333,-74.35,ST ANICET,1.0262445778689662,0.37405781623196405,0.8990042288467428
50,654,1102,0.425,-0.010141822987990141,14.504972791199682,45.5333,-76.05,LUSKVILLE,1.0663241462956234,0.3583120560358578,0.8990042288467428
51,654,1135,0.348,-0.02306995179155099,15.971452536902286,45.1167,-74.05,ORMSTOWN,0.8307625579756827,0.37658590729100244,0.8990042288467428
52,654,1141,0.33799999999999997,-0.002819591108613995,16.211153361252567,45.0667,-73.7167,HEMMINGFORD FOUR WINDS,0.7992908992523969,0.3801662569089833,0.8990042288467428
53,655,1050,0.327,0.0108004267438218,12.200271604969695,46.1167,-79.25,POWASSAN,0.9199263457280796,0.31956295653237066,0.8990042288467428
54,656,1096,0.0,0.06457777123853113,14.206951891737853,45.6833,-76.4333,CHARTERIS,0.0,0.33832255341111617,0.8990042288467428
55,656,1146,0.436,0.08212766041682308,16.43136179542141,45.0833,-73.3833,ST BERNARD DE LACOLLE,1.0102922244975137,0.3879727412255705,0.8990042288467428
56,657,1110,0.493,0.09932157620079315,14.83803900373631,45.55,-75.55,ANGERS,1.1847813444945146,0.3740851313037334,0.8990042288467428
57,657,1134,0.46399999999999997,0.12639370122986404,15.889859305178064,45.2833,-74.1,VALLEYFIELD,1.0982283852292638,0.3798280647224464,0.8990042288467428
58,657,1141,0.41,0.09970703767826301,16.204535378802806,45.1667,-73.6833,STE CLOTHILDE CDA,0.9664125112987857,0.38140207159756756,0.8990042288467428
59,658,1081,0.315,0.16636607784747412,13.543748046258958,45.95,-77.3167,PETAWAWA A,0.9129352059012139,0.3101932429116626,0.8990042288467428
60,659,1081,0.318,0.19407473605052883,13.584505642712083,45.9667,-77.25,SHEENBORO,0.9127893424817677,0.31319750512859934,0.8990042288467428
61,659,1157,0.385,0.2143332821945056,16.907970562019244,45.0667,-72.6833,SUTTON,0.8398883564024532,0.41209837648963155,0.8990042288467428
62,660,1046,0.36,0.2247059616752298,12.02855117692835,46.3636,-79.4228,NORTH BAY A,1.004056903713976,0.32233384501185863,0.8990042288467428
63,660,1148,0.384,0.2478536721012904,16.515278173256952,45.2167,-73.2,SABREVOIS,0.875433659216255,0.39433898873183654,0.8990042288467428
64,661,1024,0.386,0.27785930544065024,11.04782465123829,46.6256,-80.7978,SUDBURY A,0.9966967962509901,0.3481656945623979,0.8990042288467428
65,661,1128,0.39399999999999996,0.2806495088143387,15.648523738310713,45.5,-74.3667,RIGAUD,0.877061023604855,0.4038574929595764,0.8990042288467428
66,662,1146,0.413,0.34872560816845866,16.447024680651992,45.3333,-73.25,IBERVILLE,0.946419380402272,0.3923089004748507,0.8990042288467428
67,662,1158,0.46799999999999997,0.35043721364910185,16.950859185149188,45.1833,-72.5667,BROME,1.0119113408239522,0.41578146436988395,0.8990042288467428
68,663,1118,0.526,0.361483120581601,15.211915468380836,45.7,-74.9333,MONTEBELLO (SEDBERGH),1.159978080771744,0.4076596206531574,0.8990042288467428
69,663,1136,0.413,0.3845159255402604,15.995474941061378,45.5,-73.85,STE GENEVIEVE,0.9361343686911531,0.3966190740682007,0.8990042288467428
70,663,1138,0.47600000000000003,0.3730154780297401,16.072237754624673,45.4667,-73.75,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,1.0906079388829775,0.39237382901259643,0.8990042288467428
71,663,1139,0.5670000000000001,0.378677196996154,16.15032437560446,45.44933929,-73.64116429,LAVALTRIE CDA composite,1.3061725096190429,0.3902512064847944,0.8990042288467428
72,663,1163,0.431,0.3750065977850023,17.189960041690064,45.1333,-72.2333,GEORGEVILLE,0.9012365369052125,0.42993243922788094,0.8990042288467428
73,664,1128,0.474,0.43111426674639375,15.628350571746576,45.65,-74.3333,LACHUTE,1.0283616693196262,0.41437562016025586,0.8990042288467428
74,664,1140,0.47,0.43899501354061177,16.174297228821235,45.5,-73.5833,MONTREAL MCGILL,1.078893333534222,0.39163462635721863,0.8990042288467428
75,665,1169,0.395,0.4860499102898444,17.47520195436037,45.15,-71.8,COATICOOK,0.8137056524373653,0.43640678829104934,0.8990042288467428
76,666,1099,0.0,0.5043901353927333,14.364356559816647,46.0667,-76.05,WRIGHT,0.0,0.35453278483061185,0.8990042288467428
77,666,1132,0.444,0.5070676872066261,15.82450983689447,45.6667,-74.0333,MONTREAL/MIRABEL INT'L A,0.9527296701439094,0.4189623668880399,0.8990042288467428
78,666,1134,0.433,0.521333283639665,15.929713258832273,45.65,-73.8833,STE THERESE OUEST,0.9485338210789607,0.4103900382253581,0.8990042288467428
79,666,1142,0.446,0.4892824791896059,16.280985270212184,45.5167,-73.4167,MONTREAL/ST-HUBERT A,1.01937099302535,0.39333656618545376,0.8990042288467428
80,666,1154,0.408,0.5088716677241474,16.78949405383804,45.3833,-72.7167,GRANBY,0.8982902643842487,0.4083242799262633,0.8990042288467428
81,666,1164,0.43700000000000006,0.5272872692490097,17.226791433609083,45.2667,-72.1167,MAGOG,0.9178090060097323,0.4280464077314369,0.8990042288467428
82,668,1049,0.0,0.6116695306403618,12.166449577432108,46.7097,-79.1011,BARRAGE TEMISCAMINGUE,0.0,0.3104367159871553,0.8990042288467428
83,668,1155,0.537,0.6005135224791582,16.855793371577782,45.45045263,-72.58703684,ST HYACINTHE composite,1.1709636676609216,0.41228031596834847,0.8990042288467428
84,668,1161,0.40299999999999997,0.6214263288690471,17.08527176163669,45.4,-72.2667,BONSECOURS,0.8574813045974589,0.422514989286346,0.8990042288467428
85,668,1174,0.474,0.6002534616609015,17.66009565819819,45.2,-71.5,ST MALO D AUCKLAND,0.9700025356696438,0.43930607271987954,0.8990042288467428
86,669,1146,0.494,0.6436379439510136,16.440798499950514,45.6167,-73.1333,STE MADELEINE,1.0923541872286588,0.40656052244099405,0.8990042288467428
87,669,1150,0.39,0.6413453724906322,16.600395614683634,45.5667,-72.9167,ST HYACINTHE 2,0.8598508102457018,0.4077587007797814,0.8990042288467428
88,669,1266,0.596,0.6616967255468574,21.753266688790557,43.8308,-66.0886,YARMOUTH A,1.2435317121415423,0.43087483428140483,0.8990042288467428
89,670,1167,0.294,0.6886805319462729,17.390734475406397,45.3689,-71.8236,LENNOXVILLE,0.618906676192461,0.4270550851171476,0.8990042288467428
90,671,1098,0.336,0.7391769186864998,14.331629182838835,46.3018,-76.0061,MANIWAKI UA,0.8779159249299446,0.3440710121719339,0.8990042288467428
91,671,1141,0.387,0.738457158552364,16.240560473908765,45.7667,-73.3667,VERCHERES,0.8492595184878385,0.40966822153865756,0.8990042288467428
92,671,1267,0.542,0.7390764935272756,21.803607253579266,43.8833,-65.9833,TUSKET,1.124874422061521,0.43316861196110085,0.8990042288467428
93,672,1140,0.467,0.7652575197208127,16.182646599358296,45.8094,-73.4347,L'ASSOMPTION,1.0123208633925953,0.41472520230832166,0.8990042288467428
94,672,1165,0.37200000000000005,0.7695743040876517,17.270669708561627,45.4833,-71.95,BROMPTONVILLE,0.7927752177714212,0.421846654176586,0.8990042288467428
95,672,1169,0.38799999999999996,0.7807929838028224,17.463999638422727,45.4333,-71.6833,SHERBROOKE A,0.8278567879501719,0.4213453895283286,0.8990042288467428
96,673,1126,0.535,0.8244980392844867,15.547958374592634,46.05,-74.2833,STE AGATHE DES MONTS,1.0774930837149084,0.44637619461533873,0.8990042288467428
97,673,1131,0.563,0.816943782864911,15.7555788147033,45.9833,-74.0,ST HIPPOLYTE,1.09955268421548,0.4603138968296382,0.8990042288467428
98,674,1147,0.45,0.8463890909946689,16.47479579678509,45.8,-73.0,FLEURY,0.9789134034950512,0.4132662823255331,0.8990042288467428
99,674,1178,0.32299999999999995,0.8834959655618496,17.87385061537259,45.4,-71.0833,NOTRE DAME DES BOIS,0.673874470817254,0.4309086907021957,0.8990042288467428
100,677,881,0.17,0.9978671020460085,4.707577833482668,48.2833,-89.9167,WHITEFISH LAKE,0.5759320421651245,0.2653624172904213,0.8990042288467428
101,678,1117,0.42,1.0340555599277181,15.137667577989024,46.3667,-74.7667,LA MACAZA,0.962654152319294,0.39222993554428187,0.8990042288467428
102,678,1143,0.40299999999999997,1.0447050148731867,16.327496188013978,46.0333,-73.1167,SOREL,0.8536872795870402,0.4243927640581625,0.8990042288467428
103,678,1154,0.405,1.0348232563982545,16.79264234742965,45.8833,-72.4833,DRUMMONDVILLE,0.8874586413859368,0.41026893615495597,0.8990042288467428
104,678,1172,0.326,1.0408049695193322,17.61091405605013,45.6333,-71.3667,LINGWICK,0.7121076699356367,0.41156048583289034,0.8990042288467428
105,678,1177,0.318,1.0494863716117762,17.79263385317223,45.5833,-71.1167,MILAN,0.6745090791736357,0.42383913515813565,0.8990042288467428
106,679,959,0.39399999999999996,1.1072814606393633,8.146944438375767,47.9667,-84.7833,WAWA A,1.0018604183814646,0.3535499154042333,0.8990042288467428
107,679,1135,0.542,1.1048802078623199,15.95810005194841,46.2,-73.6,STE BEATRIX,1.0797852055300803,0.4512566846993725,0.8990042288467428
108,680,890,0.248,1.1206948848156557,5.08967868562008,48.3694,-89.3272,THUNDER BAY A,0.7505772911786136,0.29704209196616427,0.8990042288467428
109,680,981,0.319,1.1215982693691606,9.121374066660865,47.82,-83.3467,CHAPLEAU A,1.0726748538466324,0.2673525420808589,0.8990042288467428
110,680,1147,0.45299999999999996,1.1514404604556916,16.500102870276372,46.0833,-72.8333,PIERREVILLE,0.9781624665272739,0.41634077119459706,0.8990042288467428
111,680,1254,0.0,1.117162822865409,21.200383894095932,44.46076667,-66.56365,METEGHAN RIVER composite,0.0,0.4747558317369157,0.8990042288467428
112,681,1132,0.595,1.1542596729610621,15.834532095958147,46.2833,-73.75,ST COME,1.1612345428658917,0.46063693114370885,0.8990042288467428
113,683,1178,0.312,1.2606717705989359,17.84366708527203,45.7667,-70.95,ST SEBASTIEN,0.6790437049154735,0.41306519355053695,0.8990042288467428
114,684,1138,0.5489999999999999,1.29909797368146,16.07911852243818,46.35,-73.35,ST CHARLES DE MANDEVILLE,1.0936780477152601,0.4512784385385768,0.8990042288467428
115,684,1150,0.406,1.3081477460879134,16.607760775956216,46.2,-72.6167,NICOLET,0.8745734086607189,0.41734142988718936,0.8990042288467428
116,684,1182,0.294,1.3054290288877226,18.025092727207987,45.75,-70.6833,ST LUDGER,0.6407977644390346,0.41246592598886717,0.8990042288467428
117,685,855,0.0,1.3728805146422267,3.547520198421301,48.75,-91.6167,ATIKOKAN,0.0,0.19875008883604192,0.8990042288467428
118,686,1105,0.40700000000000003,1.3913321643034506,14.630169131697288,46.85,-75.3333,STE ANNE DU LAC,1.0919302279799576,0.33508983611299054,0.8990042288467428
119,687,1166,0.457,1.4353865918581943,17.319534723993772,46.1,-71.5833,ST FERDINAND,1.0149649620387353,0.4047873059161642,0.8990042288467428
120,688,1033,0.275,1.464268420428553,11.450362801068342,47.7,-79.85,EARLTON A,0.9026268989110449,0.27389629450564246,0.8990042288467428
121,688,1149,0.40299999999999997,1.4827451771107225,16.55193535398155,46.3833,-72.6167,TROIS RIVIERES AQUEDUC,0.8568216265703881,0.4228402890289026,0.8990042288467428
122,688,1169,0.345,1.4868129159530434,17.472963414579834,46.1,-71.35,THETFORD MINES,0.7709100810120991,0.4023250786199778,0.8990042288467428
123,689,1140,0.634,1.5150610464679561,16.15629574000493,46.5333,-73.15,ST ALEXIS DES MONTS,1.2698577850312986,0.44884449881510685,0.8990042288467428
124,690,1149,0.441,1.5858719669451118,16.564190208663554,46.47778333,-72.55415833,RIVIERE A PIERRE composite,0.9270669676866142,0.4276507293866102,0.8990042288467428
125,691,1182,0.304,1.6268592987363577,18.036246116246513,46.05,-70.5167,ST COME DE LINIERE,0.6695885612779336,0.4081570405680351,0.8990042288467428
126,691,1284,1.014,1.6142468085780268,22.551400289984592,44.4,-64.55,BRIDGEWATER,1.8219269130705673,0.5003440486612369,0.8990042288467428
127,692,949,0.0,1.6822521533276675,7.721167762872969,48.6,-85.2833,WHITE RIVER,0.0,0.31388978236951065,0.8990042288467428
128,692,1150,0.375,1.664176253985097,16.626426689197242,46.5333,-72.4333,ST NARCISSE,0.7815523805194853,0.43135507513065974,0.8990042288467428
129,692,1179,0.377,1.6796607608428853,17.883321299254668,46.15,-70.7,ST GEORGES,0.8400861270489295,0.4034402942300723,0.8990042288467428
130,692,1246,0.6940000000000001,1.6654751578683622,20.850317762178534,45.1,-66.7333,PENNFIELD,0.98082621696443,0.6361054833450337,0.8990042288467428
131,693,746,0.0,1.7062631912498636,-1.2453482523306831,49.191,-98.9049,PILOT MOUND (AUT),0.0,0.1046305371934653,0.8990042288467428
132,693,758,0.295,1.6882373082187547,-0.7083728658870007,49.1833,-98.0833,MORDEN CDA,2.3404016006385886,0.11331655534564088,0.8990042288467428
133,693,1156,0.38,1.6981108675439935,16.892890608074847,46.4833,-72.05,FORTIERVILLE,0.8000697034416395,0.42698980537847797,0.8990042288467428
134,694,1153,0.415,1.7540822281724946,16.741931706325044,46.5833,-72.2333,STE ANNE DE LA PERADE,0.8620966079750009,0.43276675899206996,0.8990042288467428
135,695,1172,0.345,1.7744012915046719,17.594713197903786,46.3333,-71.05,ST SEVERIN,0.7864495449322837,0.39437553362540495,0.8990042288467428
136,695,1181,0.353,1.788085543520356,17.992307149959434,46.2167,-70.5,ST PROSPER,0.7836348266237022,0.4049698686187788,0.8990042288467428
137,696,1236,0.0,1.8336806041740799,20.412222624117724,45.4179375,-67.2232875,MAGAGUADAVIC LAKE composite,0.0,0.6078380358260361,0.8990042288467428
138,697,686,0.071,1.8662740844535828,-3.895667948011195,49.2167,-102.96700000000001,ESTEVAN A,0.6482766060979954,0.09845997780532298,0.8990042288467428
139,697,1157,0.40299999999999997,1.9009426839342536,16.922755381469877,46.6667,-71.9167,DESCHAMBAULT,0.836323867830281,0.4332038318661978,0.8990042288467428
140,698,1154,0.508,1.912824438817077,16.798519081378075,46.7167,-72.0833,ST ALBAN,1.0284092075830533,0.44407823742404906,0.8990042288467428
141,699,756,0.19399999999999998,1.956539149126066,-0.8130760493526549,49.45,-98.25,MIAMI THIESSEN,1.5924831157255572,0.10951878778118532,0.8990042288467428
142,699,780,0.0,1.9687963517466125,0.2366741605794048,49.46824211,-96.63602632,SPRUCE TCPL 43 composite,0.0,0.13070026654634967,0.8990042288467428
143,699,1148,0.473,1.9884978888085978,16.545808996887292,46.8667,-72.4,LAC AUX SABLES,0.9275264784472019,0.4584548367356554,0.8990042288467428
144,699,1180,0.37,1.9845023376234565,17.948131049345225,46.4167,-70.4667,STE GERMAINE,0.8257274987176224,0.4028345491580223,0.8990042288467428
145,701,1163,0.467,2.054217978278324,17.173129500136174,46.7333,-71.5,ST AUGUSTIN,0.9707203023120435,0.43249839719172845,0.8990042288467428
146,701,1168,0.43200000000000005,2.0641528045347988,17.411163562539105,46.6667,-71.1667,BEAUSEJOUR,0.9327422236194605,0.4163742318373268,0.8990042288467428
147,701,1273,0.618,2.0477520185861904,22.08183244528817,44.9833,-64.9167,GREENWOOD A,1.2647800935822733,0.43927368579441245,0.8990042288467428
148,702,1007,0.24600000000000002,2.1028662985791216,10.272256140147682,48.5697,-81.3767,TIMMINS VICTOR POWER A,0.9179871096890148,0.24091301278862093,0.8990042288467428
149,702,1183,0.48200000000000004,2.1043623241683953,18.088712820603085,46.4833,-70.2167,ST CAMILLE,1.0602542896987663,0.4086944448272335,0.8990042288467428
150,702,1256,0.643,2.0923818993230565,21.32172942210499,45.3181,-65.8856,SAINT JOHN A,1.0757278941718305,0.5373661148700489,0.8990042288467428
151,703,1062,0.28300000000000003,2.1295758090215102,12.715646487269279,48.0564,-77.7867,VAL-D'OR A,0.9146144822316559,0.27816987562109097,0.8990042288467428
152,703,1164,0.47600000000000003,2.142892402870948,17.22771444423007,46.8,-71.3833,QUEBEC/JEAN LESAGE INTL A,0.9857932609143925,0.4340930597700761,0.8990042288467428
153,703,1297,0.6970000000000001,2.1285083347995943,23.143751611246888,44.6333,-63.5,SHEARWATER A,1.2096628404936964,0.5180004928071071,0.8990042288467428
154,704,1277,0.534,2.1832299349175868,22.229032603976535,45.05,-64.65,WATERVILLE CAMBRIDGE,1.1224644657205718,0.4276912747487097,0.8990042288467428
155,705,1168,0.45,2.220882571941183,17.406153681880436,46.8167,-71.1,LAUZON,0.9588354325981004,0.4219200597174883,0.8990042288467428
156,705,1279,0.565,2.245163530071908,22.330642996726787,45.0667,-64.4833,KENTVILLE CDA,1.1802482505897567,0.4303648736989011,0.8990042288467428
157,705,1287,0.612,2.249827933933791,22.675906214322463,44.9333,-64.0333,SALMON HOLE,1.2133928049382847,0.45343155638885646,0.8990042288467428
158,707,675,0.0,2.3444152303763364,-4.421666135144434,49.65,-103.833,WEYBURN,0.0,0.09252671061956026,0.8990042288467428
159,707,813,0.18,2.3191516259454263,1.7019727769211224,49.7903,-94.3653,KENORA A,0.9142916663435671,0.17699030533611543,0.8990042288467428
160,707,1046,0.306,2.3301463594803966,12.017196687285196,48.4167,-78.7333,MONT BRUN,1.0057764139524696,0.27351535610786715,0.8990042288467428
161,708,1168,0.48,2.377566928011995,17.400888965846388,46.9667,-71.0333,CHATEAU RICHER,1.0048167721929506,0.42945345040834293,0.8990042288467428
162,708,1184,0.51,2.38587791745667,18.134863525524572,46.7333,-70.0167,STE LUCIE,1.1441266486791561,0.40073549308649337,0.8990042288467428
163,708,1295,0.76,2.353824406162802,23.043207937173968,44.88,-63.5,HALIFAX STANFIELD INT'L A,1.3411218977399721,0.5094564596066251,0.8990042288467428
164,709,756,0.121,2.406655175540253,-0.816592826955396,49.9,-98.2667,PORTAGE SOUTHPORT A,1.0610132814379276,0.102524175327036,0.8990042288467428
165,709,771,0.16899999999999998,2.4169256900823712,-0.15035553299554535,49.9167,-97.2333,WINNIPEG RICHARDSON INT'L A,1.4057156920966951,0.108081396209276,0.8990042288467428
166,709,777,0.0,2.4333932656282005,0.0966389221322516,49.9333,-96.85,OAKBANK,0.0,0.11518685186833702,0.8990042288467428
167,709,836,0.16699999999999998,2.408289044403697,2.742262906325916,49.8333,-92.75,DRYDEN A,0.8028858217749504,0.18699259863065393,0.8990042288467428
168,709,1242,0.57,2.4355673986902304,20.695842322706284,45.8721,-66.5279,FREDERICTON A,0.9383308667980135,0.5461105763165205,0.8990042288467428
