,mean RH (%),Location,lat,lon,rlat,rlon
0,67.824,100 Mile House,51.64,-121.3,6.473,-14.894
1,76.841,Abbotsford,49.05,-122.33,4.215,-16.33
2,76.623,Agassiz,49.24,-121.76,4.279,-15.915
3,79.265,Alberni,49.27,-124.8,4.957,-17.786
4,65.293,Ashcroft,50.72,-121.28,5.593,-15.164
5,83.586,Bamfield,48.83,-125.13,4.62,-18.142
6,69.612,Beatton River,57.38,-121.41,11.953,-13.162
7,82.896,Bella Bella,52.16,-128.14,8.419,-18.705
8,76.865,Bella Coola,52.37,-126.75,8.292,-17.829
9,74.683,Burns Lake,54.23,-125.75,9.806,-16.578
10,65.812,Cache Creek,50.81,-121.32,5.686,-15.16
11,77.778,Campbell River,50.02,-125.24,5.759,-17.792
12,66.29,Carmi,49.5,-119.12,4.022,-14.191
13,66.95,Castlegar,49.33,-117.67,3.604,-13.326
14,65.012,Chetwynd,55.7,-121.63,10.395,-13.814
15,76.389,Chilliwack,49.17,-121.95,4.251,-16.055
16,78.764,Comox,49.67,-124.93,5.362,-17.726
17,79.12,Courtenay,49.69,-125.0,5.396,-17.762
18,65.866,Cranbrook,49.51,-115.77,3.47,-12.082
19,68.279,Crescent Valley,49.45,-117.56,3.701,-13.226
20,77.146,Crofton,48.86,-123.64,4.314,-17.207
21,64.125,Dawson Creek,55.76,-120.24,10.214,-13.038
22,74.403,Dease Lake ,58.44,-130.0,14.598,-17.132
23,67.22,Dog Creek,51.58,-122.3,6.609,-15.506
24,78.86,Duncan,48.78,-123.71,4.254,-17.278
25,65.755,Elko,49.3,-115.12,3.167,-11.719
26,65.231,Fernie,49.5,-115.06,3.353,-11.635
27,69.314,Fort Nelson,58.8,-122.71,13.518,-13.364
28,67.153,Fort St. John,56.25,-120.85,10.784,-13.219
29,73.681,Glacier,51.27,-117.52,5.452,-12.727
30,84.834,Gold River ,49.78,-126.78,5.892,-18.809
31,71.119,Golden,51.3,-116.96,5.392,-12.379
32,67.321,Grand Forks,49.03,-118.44,3.449,-13.892
33,66.512,Greenwood,49.09,-118.68,3.549,-14.028
34,75.348,Hope,49.38,-121.44,4.348,-15.673
35,82.296,Jordan River ,48.42,-124.05,3.99,-17.611
36,63.993,Kamloops,50.68,-120.34,5.377,-14.605
37,70.842,Kaslo,49.91,-116.91,4.039,-12.7
38,68.418,Kelowna,49.89,-119.5,4.465,-14.318
39,66.604,Kimberley,49.69,-115.98,3.678,-12.171
40,80.853,Kitimat Plant,54.0,-128.7,10.245,-18.293
41,80.741,Kitimat Townsite,54.05,-128.65,10.279,-18.245
42,77.098,Ladysmith,48.99,-123.82,4.476,-17.276
43,82.306,Langford,48.45,-123.5,3.897,-17.256
44,67.726,Lillooet,50.69,-121.93,5.691,-15.566
45,65.09,Lytton,50.23,-121.58,5.185,-15.497
46,72.338,Mackenzie,55.32,-123.09,10.3,-14.734
47,87.282,Masset,54.03,-132.18,11.117,-20.174
48,74.172,McBride,53.3,-120.17,7.851,-13.731
49,71.514,McLeod Lake,54.98,-123.05,9.972,-14.826
50,66.341,Merritt,50.11,-120.79,4.917,-15.049
51,77.149,Mission City,49.16,-122.28,4.309,-16.264
52,67.741,Montrose,49.08,-117.59,3.349,-13.341
53,76.695,Nakusp,50.24,-117.8,4.504,-13.169
54,77.344,Nanaimo,49.16,-123.94,4.663,-17.293
55,68.632,Nelson,49.49,-117.3,3.697,-13.052
56,82.156,Ocean Falls,52.35,-127.69,8.489,-18.374
57,64.169,Osoyoos,49.03,-119.47,3.635,-14.543
58,79.886,Parksville,49.32,-124.31,4.895,-17.467
59,62.564,Penticton,49.5,-119.59,4.108,-14.484
60,79.068,Port Alberni,49.23,-124.81,4.922,-17.806
61,86.62,Port Alice ,50.43,-127.49,6.665,-18.991
62,83.691,Port Hardy,50.72,-127.5,6.936,-18.887
63,84.648,Port McNeill,50.59,-127.08,6.716,-18.687
64,82.129,Port Renfrew ,48.56,-124.4,4.2,-17.782
65,77.069,Powell River,49.84,-124.52,5.43,-17.418
66,70.334,Prince George,53.91,-122.74,8.901,-15.007
67,82.819,Prince Rupert,54.31,-130.33,10.913,-19.054
68,67.133,Princeton,49.46,-120.51,4.243,-15.07
69,79.133,Qualicum Beach,49.35,-124.44,4.952,-17.537
70,86.608,Queen Charlotte City,53.25,-132.09,10.391,-20.468
71,69.513,Quesnel,52.98,-122.49,7.973,-15.168
72,76.831,Revelstoke,51.0,-118.2,5.305,-13.212
73,76.194,Salmon Arm,50.7,-119.28,5.203,-13.953
74,84.095,Sandspit,53.24,-131.82,10.313,-20.324
75,76.862,Sechelt,49.47,-123.76,4.916,-17.078
76,78.124,Sidney,48.65,-123.4,4.064,-17.127
77,71.313,Smith River,59.88,-126.43,15.197,-14.804
78,75.102,Smithers,54.78,-127.17,10.621,-17.151
79,82.741,Sooke,48.38,-123.73,3.881,-17.423
80,77.494,Squamish,49.7,-123.16,5.005,-16.633
81,81.421,Stewart,55.94,-129.94,12.307,-18.162
82,85.553,Tahsis,49.92,-126.66,5.994,-18.685
83,66.683,Taylor,56.16,-120.69,10.671,-13.161
84,78.647,Terrace,54.52,-128.6,10.7,-18.03
85,84.915,Tofino,49.15,-125.9,5.097,-18.503
86,68.457,Trail,49.09,-117.71,3.379,-13.414
87,83.006,Ucluelet,48.94,-125.55,4.82,-18.363
88,79.089,Burnaby (Simon Fraser Univ.),49.24,-122.97,4.529,-16.666
89,80.329,Cloverdale,49.11,-122.73,4.356,-16.559
90,79.076,Haney,49.22,-122.6,4.433,-16.443
91,79.519,Ladner,49.09,-123.08,4.411,-16.783
92,79.785,Langley,49.1,-122.66,4.332,-16.519
93,79.722,New Westminster,49.21,-122.91,4.488,-16.639
94,78.106,North Vancouver,49.32,-123.07,4.626,-16.702
95,78.91,Richmond,49.16,-123.14,4.49,-16.798
96,80.342,Surrey (88 Ave & 156 St.),49.16,-122.79,4.416,-16.581
97,78.194,Vancouver (city hall),49.26,-123.11,4.578,-16.747
98,78.508,Vancouver (Granville & 41 Ave),49.23,-123.14,4.556,-16.775
99,77.629,West Vancouver,49.33,-123.16,4.655,-16.755
100,72.913,Vernon,50.27,-119.27,4.789,-14.068
101,82.285,Victoria,48.43,-123.36,3.847,-17.174
102,81.033,Victoria Gonzales Height,48.42,-123.32,3.829,-17.153
103,80.33,Victoria Mt Tolmie,48.46,-123.32,3.867,-17.139
104,74.214,Whistler ,50.12,-122.95,5.358,-16.368
105,80.799,White Rock ,49.02,-122.8,4.285,-16.632
106,68.157,Williams Lake,52.13,-122.14,7.1,-15.237
107,81.13,Youbou,48.86,-124.21,4.44,-17.562
108,72.586,Athabasca,54.72,-112.28,8.09,-8.844
109,64.98,Banff,51.17,-115.57,5.053,-11.564
110,71.839,Barrhead,54.12,-114.41,7.763,-10.194
111,65.906,Beaverlodge,55.21,-119.43,9.554,-12.754
112,69.545,Brooks,50.56,-111.9,3.964,-9.424
113,62.71,Calgary,51.05,-114.06,4.722,-10.664
114,71.663,Campsie,54.12,-114.65,7.795,-10.333
115,73.892,Camrose,53.02,-112.83,6.489,-9.506
116,64.061,Canmore,51.09,-115.36,4.944,-11.454
117,63.056,Cardston,49.2,-113.3,2.81,-10.58
118,64.562,Claresholm,50.02,-113.58,3.65,-10.586
119,71.938,Cold Lake,54.41,-110.22,7.567,-7.716
120,64.248,Coleman,49.64,-114.49,3.406,-11.243
121,71.341,Coronation,52.09,-111.45,5.414,-8.859
122,62.696,Cowley,49.57,-114.07,3.278,-10.992
123,68.941,Drumheller,51.47,-112.71,4.956,-9.747
124,70.225,Edmonton,53.55,-113.49,7.089,-9.784
125,69.464,Edson,53.59,-116.43,7.528,-11.488
126,71.717,Embarras Portage,58.45,-111.47,11.665,-7.672
127,70.277,Fairview,56.07,-118.38,10.215,-11.933
128,64.03,Fort MacLeod,49.72,-113.41,3.334,-10.542
129,70.227,Fort McMurray,56.73,-111.38,9.966,-7.951
130,71.599,Fort Saskatchewan,53.71,-113.21,7.211,-9.587
131,72.413,Fort Vermilion,58.39,-116.0,12.121,-10.051
132,68.189,Grande Prairie,55.17,-118.79,9.413,-12.41
133,69.72,Habay,58.83,-118.73,12.919,-11.338
134,71.601,Hardisty,52.67,-111.31,5.969,-8.668
135,64.062,High River,50.58,-113.88,4.238,-10.655
136,68.595,Hinton,53.4,-117.58,7.518,-12.204
137,68.386,Jasper,52.88,-118.08,7.096,-12.635
138,69.093,Keg River,57.75,-117.63,11.722,-11.07
139,71.318,Lac la Biche,54.77,-111.97,8.105,-8.657
140,71.439,Lacombe,52.47,-113.74,6.066,-10.163
141,63.572,Lethbridge,49.69,-112.83,3.228,-10.181
142,70.22,Manning,56.92,-117.63,10.922,-11.295
143,66.669,Medicine Hat,50.04,-110.68,3.311,-8.751
144,69.736,Peace River,56.23,-117.29,10.207,-11.295
145,62.473,Pincher Creek,49.48,-113.94,3.172,-10.929
146,72.558,Ranfurly,53.4,-111.68,6.727,-8.751
147,70.673,Red Deer,52.27,-113.81,5.879,-10.248
148,70.706,Rocky Mountain House,52.37,-114.92,6.127,-10.891
149,71.998,Slave Lake,55.28,-114.77,8.94,-10.135
150,71.139,Stettler,52.33,-112.71,5.799,-9.574
151,70.069,Stony Plain,53.53,-114.01,7.136,-10.093
152,67.886,Suffield,50.22,-111.16,3.542,-9.023
153,65.971,Taber,49.78,-112.15,3.229,-9.731
154,64.003,Turner Valley,50.68,-114.29,4.392,-10.887
155,69.806,Valleyview,55.07,-117.28,9.085,-11.594
156,71.981,Vegreville,53.49,-112.05,6.858,-8.952
157,72.721,Vermilion,53.35,-110.85,6.587,-8.27
158,70.651,Wagner,55.35,-114.98,9.036,-10.237
159,72.01,Wainwright,52.83,-110.86,6.077,-8.369
160,72.147,Wetaskiwin,52.97,-113.37,6.507,-9.836
161,70.397,Whitecourt,54.14,-115.69,7.956,-10.926
162,70.041,Wimborne,51.87,-113.59,5.46,-10.201
163,71.141,Assiniboia,49.63,-105.99,2.466,-5.815
164,69.96,Battrum,50.55,-108.33,3.574,-7.185
165,72.681,Biggar,52.06,-107.99,5.038,-6.757
166,74.564,Broadview,50.38,-102.58,3.008,-3.56
167,74.624,Dafoe,51.75,-104.53,4.476,-4.668
168,73.259,Dundurn,51.81,-106.51,4.67,-5.883
169,73.769,Estevan,49.14,-102.99,1.791,-3.917
170,72.287,Hudson Bay,52.85,-102.38,5.463,-3.261
171,74.338,Humboldt,52.2,-105.12,4.96,-4.985
172,71.96,Island Falls,55.53,-102.35,8.135,-3.056
173,74.59,Kamsack,51.56,-101.89,4.156,-3.046
174,71.02,Kindersley,51.47,-109.16,4.562,-7.564
175,72.624,Lloydminster,53.28,-110.01,6.432,-7.785
176,68.204,Maple Creek,49.91,-109.48,3.054,-8.011
177,73.048,Meadow Lake,54.13,-108.43,7.124,-6.72
178,74.011,Melfort,52.86,-104.61,5.586,-4.608
179,74.761,Melville,50.93,-102.8,3.567,-3.659
180,72.207,Moose Jaw,50.39,-105.53,3.188,-5.435
181,72.615,Nipawin,53.36,-104.01,6.049,-4.2
182,72.799,North Battleford,52.78,-108.3,5.778,-6.842
183,73.103,Prince Albert,53.2,-105.75,5.996,-5.257
184,74.773,Qu'Appelle,50.54,-103.88,3.234,-4.373
185,73.191,Regina,50.45,-104.62,3.188,-4.851
186,72.177,Rosetown,51.55,-107.99,4.533,-6.83
187,72.773,Saskatoon,52.13,-106.66,4.999,-5.935
188,73.146,Scott,52.37,-108.83,5.42,-7.223
189,73.961,Strasbourg,51.07,-104.95,3.826,-4.997
190,69.991,Swift Current,50.28,-107.8,3.259,-6.888
191,72.524,Uranium City,59.57,-108.62,12.519,-5.998
192,73.835,Weyburn,49.66,-103.85,2.355,-4.432
193,73.869,Yorkton,51.21,-102.46,3.83,-3.425
194,74.848,Beausejour,50.06,-96.51,2.561,0.315
195,74.77,Boissevain,49.23,-100.05,1.769,-1.992
196,74.813,Brandon,49.84,-99.95,2.376,-1.904
197,76.897,Churchill,58.77,-94.17,11.297,1.496
198,73.712,Dauphin,51.15,-100.05,3.688,-1.917
199,70.27,Flin Flon,54.77,-101.88,7.359,-2.836
200,75.104,Gimli,50.63,-96.99,3.13,0.006
201,72.189,Island Lake,53.86,-94.67,6.381,1.382
202,74.192,Lac du Bonnet,50.26,-96.06,2.764,0.602
203,72.28,Lynn Lake,56.85,-101.05,9.408,-2.244
204,74.988,Morden,49.19,-98.1,1.695,-0.719
205,74.677,Neepawa,50.23,-99.47,2.755,-1.582
206,73.847,Pine Falls,50.57,-96.2,3.073,0.509
207,75.033,Portage la Prairie,49.97,-98.24,2.476,-0.798
208,74.42,Rivers,50.03,-100.24,2.573,-2.083
209,75.171,Sandilands,49.32,-96.29,1.822,0.463
210,74.847,Selkirk,50.14,-96.87,2.64,0.083
211,73.056,Split Lake,56.25,-96.1,8.753,0.506
212,75.242,Steinbach,49.53,-96.69,2.03,0.201
213,72.459,Swan River,52.11,-101.27,4.682,-2.63
214,72.162,The Pas,53.83,-101.25,6.399,-2.523
215,70.852,Thompson,55.75,-97.85,8.253,-0.483
216,75.374,Virden,49.85,-100.93,2.414,-2.535
217,74.614,Winnipeg,49.9,-97.14,2.4,-0.09
218,75.684,Ailsa Craig,43.14,-81.54,-3.242,11.234
219,74.617,Ajax,43.85,-79.02,-2.16,12.872
220,74.365,Alexandria,45.31,-74.63,0.046,15.525
221,76.511,Alliston,44.15,-79.87,-2.004,12.208
222,74.331,Almonte,45.23,-76.19,-0.329,14.49
223,73.983,Armstrong,50.3,-89.04,3.06,5.082
224,73.598,Arnprior,45.43,-76.36,-0.167,14.322
225,74.42,Atikokan,48.76,-91.63,1.382,3.538
226,74.824,Attawapiskat,52.92,-82.43,6.243,8.776
227,75.366,Aurora,44.01,-79.45,-2.074,12.534
228,74.932,Bancroft,45.06,-77.85,-0.788,13.4
229,77.061,Barrie,44.39,-79.69,-1.742,12.282
230,75.415,Barriefield,44.24,-76.46,-1.334,14.562
231,77.191,Beaverton,44.43,-79.16,-1.618,12.642
232,75.016,Belleville,44.16,-77.38,-1.579,13.944
233,75.996,Belmont,42.93,-81.09,-3.382,11.599
234,74.307,Bowmanville,43.91,-78.69,-2.047,13.09
235,75.27,Bracebridge,45.06,-79.29,-1.025,12.41
236,76.277,Bradford,44.12,-79.56,-1.984,12.432
237,74.094,Brampton,43.68,-79.76,-2.445,12.388
238,75.303,Brantford,43.14,-80.26,-3.051,12.15
239,75.907,Brighton,44.04,-77.74,-1.759,13.723
240,74.94,Brockville,44.59,-75.68,-0.85,15.008
241,74.689,Burk's Falls,45.62,-79.41,-0.498,12.203
242,73.049,Burlington,43.33,-79.8,-2.793,12.437
243,75.728,Cambridge,43.36,-80.31,-2.844,12.067
244,75.669,Campbellford,44.31,-77.8,-1.507,13.616
245,76.808,Cannington,44.35,-79.04,-1.677,12.744
246,74.716,Carleton Place,45.14,-76.15,-0.408,14.541
247,75.71,Cavan,44.2,-78.47,-1.728,13.176
248,76.24,Centralia,43.28,-81.47,-3.095,11.257
249,76.809,CFB Borden,44.27,-79.91,-1.893,12.154
250,74.507,Chapleau,47.84,-83.4,1.135,9.083
251,75.473,Chatham,42.4,-82.18,-4.059,10.915
252,77.476,Chesley,44.29,-81.08,-2.049,11.331
253,77.122,Clinton,43.62,-81.53,-2.77,11.147
254,76.067,Coboconk,44.66,-78.8,-1.336,12.84
255,75.011,Cobourg,43.96,-78.17,-1.911,13.442
256,73.908,Cochrane,49.06,-81.03,2.629,10.398
257,75.857,Colborne,44.01,-77.89,-1.814,13.626
258,76.25,Collingwood,44.5,-80.22,-1.716,11.888
259,72.652,Cornwall,45.02,-74.73,-0.252,15.538
260,75.641,Corunna,42.88,-82.45,-3.625,10.63
261,72.777,Deep River,46.1,-77.49,0.282,13.39
262,74.591,Deseronto,44.2,-77.05,-1.481,14.164
263,76.088,Dorchester,42.99,-81.05,-3.318,11.616
264,74.789,Dorion,48.78,-88.56,1.582,5.552
265,75.89,Dresden,42.59,-82.18,-3.872,10.879
266,73.003,Dryden,49.78,-92.84,2.352,2.687
267,77.338,Dundalk,44.17,-80.39,-2.064,11.839
268,74.005,Dunnville,42.9,-79.62,-3.184,12.659
269,77.665,Durham,44.18,-80.82,-2.119,11.536
270,75.29,Dutton,42.66,-81.5,-3.707,11.358
271,73.373,Earlton,47.71,-79.82,1.478,11.468
272,71.304,Edison,49.8,-93.55,2.349,2.228
273,73.262,Elliot Lake ,46.39,-82.65,-0.201,9.843
274,72.437,Elmvale,44.58,-74.87,-0.702,15.565
275,76.195,Embro,43.15,-80.9,-3.139,11.69
276,73.241,Englehart,47.82,-79.87,1.578,11.411
277,73.12,Espanola,46.27,-81.77,-0.204,10.462
278,76.271,Exeter,43.35,-81.48,-3.028,11.236
279,76.186,Fenelon Falls,44.53,-78.74,-1.452,12.911
280,77.735,Fergus,43.71,-80.38,-2.512,11.944
281,75.895,Forest,43.1,-82.0,-3.347,10.912
282,74.424,Fort Erie,42.9,-78.97,-3.077,13.124
283,74.076,Fort Erie (Ridgeway),42.88,-79.05,-3.11,13.071
284,73.927,Fort Frances,48.61,-93.4,1.165,2.38
285,75.75,Gananoque,44.33,-76.17,-1.193,14.739
286,74.089,Geraldton,49.7,-86.95,2.62,6.488
287,75.736,Glencoe,42.75,-81.71,-3.649,11.189
288,77.907,Goderich,43.74,-81.71,-2.678,10.995
289,76.025,Gore Bay,45.92,-82.46,-0.639,10.059
290,75.554,Graham,49.25,-90.57,1.924,4.195
291,74.954,Gravenhurst (Muskoka Airport),44.91,-79.37,-1.184,12.389
292,73.286,Grimsby,43.2,-79.58,-2.885,12.622
293,76.281,Guelph,43.54,-80.25,-2.659,12.072
294,76.894,Guthrie,44.47,-79.53,-1.638,12.376
295,73.582,Haileybury,47.45,-79.63,1.253,11.65
296,74.49,Haldimand (Caledonia),43.06,-79.96,-3.082,12.381
297,74.251,Haldimand (Hagersville),42.96,-80.05,-3.194,12.339
298,74.505,Haliburton,45.05,-78.52,-0.91,12.942
299,74.718,Halton Hills (Georgetown),43.64,-79.93,-2.511,12.277
300,73.059,Hamilton,43.26,-79.87,-2.873,12.402
301,78.212,Hanover,44.15,-81.03,-2.179,11.394
302,76.021,Hastings,44.31,-77.96,-1.535,13.505
303,73.512,Hawkesbury,45.61,-74.6,0.34,15.461
304,71.627,Hearst,49.69,-83.67,2.927,8.589
305,76.789,Honey Harbour,44.87,-79.82,-1.293,12.086
306,75.242,Hornepayne,49.22,-84.78,2.346,7.953
307,75.414,Huntsville,45.33,-79.22,-0.751,12.398
308,75.983,Ingersoll,43.04,-80.88,-3.243,11.727
309,73.87,Iroquois Falls,48.76,-80.69,2.381,10.678
310,74.839,Jellicoe,49.69,-87.53,2.563,6.116
311,73.938,Kapuskasing,49.42,-82.43,2.804,9.43
312,75.084,Kemptville,45.02,-75.65,-0.43,14.913
313,72.807,Kenora,49.77,-94.49,2.296,1.622
314,73.844,Killaloe,45.56,-77.42,-0.229,13.571
315,77.547,Kincardine,44.18,-81.63,-2.235,10.966
316,75.276,Kingston,44.23,-76.48,-1.348,14.551
317,75.32,Kinmount,44.78,-78.65,-1.194,12.915
318,73.475,Kirkland Lake,48.15,-80.02,1.879,11.242
319,76.897,Kitchener,43.45,-80.49,-2.783,11.92
320,74.571,Kitchenuhmaykoosib,53.82,-89.88,6.514,4.223
321,76.432,Lakefield,44.42,-78.27,-1.481,13.263
322,74.097,Lansdowne House,52.2,-87.93,5.025,5.566
323,74.205,Leamington,42.06,-82.6,-4.451,10.673
324,76.186,Lindsay,44.36,-78.74,-1.618,12.95
325,76.725,Lion's Head,44.99,-81.25,-1.388,11.071
326,78.017,Listowel,43.73,-80.95,-2.578,11.536
327,76.06,London,42.99,-81.24,-3.346,11.479
328,76.105,Lucan,43.19,-81.41,-3.174,11.317
329,74.585,Maitland,44.63,-75.62,-0.8,15.038
330,76.884,Markdale,44.32,-80.65,-1.957,11.626
331,74.148,Markham,43.86,-79.34,-2.203,12.644
332,75.289,Martin,49.25,-91.13,1.895,3.83
333,75.036,Matheson,48.53,-80.46,2.188,10.875
334,73.216,Mattawa,46.32,-78.71,0.294,12.518
335,76.639,Midland,44.75,-79.89,-1.421,12.064
336,74.157,Milton,43.51,-79.88,-2.63,12.341
337,77.628,Milverton,43.56,-80.92,-2.74,11.592
338,74.899,Minden,44.93,-78.72,-1.06,12.832
339,73.208,Mississauga,43.59,-79.64,-2.514,12.493
340,72.895,Mississauga Port Credit,43.55,-79.58,-2.544,12.544
