,mean RH (%),Location,lat,lon,rlat,rlon
341,77.278,Mitchell,43.47,-81.19,-2.868,11.418
342,76.052,Moosonee,51.27,-80.65,4.842,10.181
343,72.75,Morrisburg,44.9,-75.18,-0.455,15.266
344,78.685,Mount Forest,43.98,-80.74,-2.303,11.633
345,73.476,Nakina,50.18,-86.71,3.116,6.578
346,74.073,Nanticoke (Jarvis),42.89,-80.11,-3.272,12.311
347,74.053,Nanticoke (Port Dover),42.79,-80.2,-3.384,12.267
348,74.258,Napanee,44.25,-76.95,-1.415,14.22
349,73.681,New Liskeard,47.51,-79.68,1.304,11.604
350,74.575,Newcastle,43.92,-78.59,-2.021,13.157
351,75.485,Newmarket,44.04,-79.46,-2.046,12.52
352,73.819,Niagara Falls,43.11,-79.06,-2.888,13.012
353,73.535,North Bay,46.31,-79.46,0.167,12.015
354,76.102,Norwood,44.38,-77.98,-1.47,13.474
355,72.871,Oakville,43.47,-79.69,-2.639,12.484
356,76.567,Orangeville,43.92,-80.09,-2.263,12.104
357,76.77,Orillia,44.61,-79.42,-1.484,12.421
358,74.575,Oshawa,43.9,-78.87,-2.087,12.966
359,72.738,Ottawa (Barrhaven),45.28,-75.76,-0.2,14.768
360,72.871,Ottawa (city hall),45.42,-75.69,-0.052,14.778
361,73.677,Ottawa (Kanata),45.32,-75.91,-0.19,14.656
362,72.077,Ottawa (M-C Int'l Airport),45.32,-75.67,-0.145,14.819
363,72.644,Ottawa (Orleans),45.48,-75.51,0.039,14.884
364,76.134,Owen Sound,44.56,-80.94,-1.764,11.374
365,74.318,Pagwa River,50.02,-85.22,3.092,7.548
366,75.604,Paris,43.19,-80.38,-3.021,12.054
367,75.588,Parkhill,43.16,-81.68,-3.243,11.13
368,76.313,Parry Sound,45.34,-80.03,-0.867,11.84
369,73.311,Pelham (Fonthill),43.04,-79.28,-2.992,12.871
370,74.298,Pembroke,45.83,-77.11,0.086,13.713
371,76.963,Penetanguishene,44.77,-79.93,-1.408,12.032
372,73.797,Perth,44.9,-76.25,-0.658,14.535
373,73.876,Petawawa,45.9,-77.28,0.124,13.581
374,76.002,Peterborough,44.31,-78.32,-1.596,13.254
375,76.237,Petrolia,42.88,-82.15,-3.583,10.846
376,74.537,Pickering (Dunbarton),43.84,-79.08,-2.18,12.832
377,76.152,Picton,44.0,-77.13,-1.689,14.158
378,76.537,Plattsville,43.31,-80.62,-2.94,11.857
379,72.802,Point Alexander,46.13,-77.57,0.297,13.329
380,75.151,Port Burwell,42.65,-80.8,-3.613,11.865
381,73.608,Port Colborne,42.89,-79.25,-3.133,12.926
382,77.001,Port Elgin,44.45,-81.38,-1.935,11.088
383,74.872,Port Hope,43.95,-78.29,-1.941,13.36
384,75.723,Port Perry,44.11,-78.95,-1.896,12.861
385,75.178,Port Stanley,42.67,-81.22,-3.656,11.558
386,74.086,Prescott,44.72,-75.52,-0.694,15.082
387,75.88,Princeton,43.17,-80.53,-3.063,11.951
388,73.664,Raith,48.83,-89.93,1.542,4.649
389,73.309,Rayside-Balfour (Chelmsford),46.57,-81.2,0.167,10.789
390,72.796,Red Lake,51.06,-93.74,3.603,2.052
391,73.42,Renfrew,45.47,-76.68,-0.186,14.095
392,73.839,Richmond Hill,43.85,-79.38,-2.219,12.619
393,73.711,Rockland,45.55,-75.29,0.149,15.013
394,75.659,Sarnia,42.97,-82.41,-3.531,10.642
395,75.7,Sault Ste. Marie,46.51,-84.33,-0.282,8.682
396,72.45,Schreiber,48.8,-87.27,1.7,6.394
397,76.812,Seaforth,43.55,-81.39,-2.819,11.26
398,77.169,Shelburne,44.08,-80.2,-2.123,11.992
399,74.09,Simcoe,42.84,-80.31,-3.352,12.178
400,73.127,Sioux Lookout,50.1,-91.92,2.707,3.26
401,74.023,Smiths Falls,44.9,-76.02,-0.615,14.692
402,73.634,Smithville,43.09,-79.55,-2.987,12.667
403,73.887,Smooth Rock Falls,49.28,-81.63,2.766,9.969
404,74.053,South River,45.84,-79.38,-0.279,12.174
405,76.918,Southampton,44.49,-81.37,-1.895,11.087
406,73.121,St. Catharines,43.16,-79.25,-2.87,12.865
407,76.467,St. Mary's,43.26,-81.14,-3.067,11.496
408,75.687,St. Thomas,42.78,-81.19,-3.544,11.557
409,75.037,Stirling,44.3,-77.55,-1.473,13.792
410,76.844,Stratford,43.37,-80.98,-2.935,11.588
411,76.108,Strathroy,42.96,-81.62,-3.43,11.212
412,73.338,Sturgeon Falls,46.37,-79.93,0.154,11.686
413,75.309,Sudbury,46.49,-80.99,0.118,10.946
414,74.179,Sundridge,45.77,-79.39,-0.349,12.183
415,76.67,Tavistock,43.32,-80.84,-2.963,11.698
416,72.202,Temagami,47.06,-79.79,0.848,11.629
417,75.949,Thamesford,43.06,-81.0,-3.242,11.637
418,75.683,Thedford,43.17,-81.85,-3.257,11.006
419,71.579,Thunder Bay,48.38,-89.25,1.136,5.14
420,76.109,Tillsonburg,42.86,-80.73,-3.397,11.872
421,72.945,Timmins,48.48,-81.33,2.021,10.32
422,73.377,Timmins (Porcupine),48.49,-81.17,2.052,10.422
423,73.048,Etobicoke,43.64,-79.57,-2.454,12.531
424,73.691,North York,43.77,-79.41,-2.302,12.615
425,73.875,Scarborough,43.77,-79.26,-2.277,12.721
426,72.868,Toronto (city hall),43.65,-79.38,-2.414,12.663
427,73.348,Toronto (LBP Int'l Airport),43.68,-79.61,-2.422,12.494
428,74.959,Trenton,44.1,-77.57,-1.671,13.827
429,73.615,Trout Creek,45.99,-79.36,-0.13,12.154
430,75.956,Uxbridge,44.11,-79.12,-1.923,12.742
431,73.937,Vaughan (Woodbridge),43.86,-79.51,-2.23,12.525
432,73.643,Vittoria,42.76,-80.32,-3.432,12.188
433,78.156,Walkerton,44.13,-81.15,-2.216,11.314
434,75.551,Wallaceburg,42.59,-82.38,-3.9,10.734
435,77.159,Waterloo,43.46,-80.52,-2.778,11.897
436,76.351,Watford,42.95,-81.88,-3.477,11.027
437,74.717,Wawa,48.0,-84.77,1.142,8.151
438,73.477,Welland,42.98,-79.25,-3.046,12.906
439,74.912,West Lorne,42.6,-81.61,-3.782,11.29
440,74.698,Whitby,43.9,-78.94,-2.098,12.916
441,74.857,Whitby (Brooklin),43.96,-78.96,-2.043,12.889
442,75.599,White River,48.59,-85.28,1.673,7.725
443,76.273,Wiarton,44.74,-81.14,-1.617,11.198
444,73.736,Windsor,42.32,-83.04,-4.254,10.304
445,78.044,Wingham,43.89,-81.31,-2.474,11.249
446,76.164,Woodstock,43.13,-80.76,-3.137,11.795
447,76.29,Wyoming,42.95,-82.12,-3.511,10.854
448,73.722,Acton-Vale,45.65,-72.56,0.796,16.813
449,74.292,Alma,48.55,-71.65,3.745,16.501
450,74.767,Amos,48.57,-78.12,2.575,12.377
451,74.207,Asbestos,45.78,-71.94,1.054,17.185
452,73.637,Aylmer,45.4,-75.84,-0.1,14.682
453,73.493,Baie-Comeau,49.22,-68.15,5.151,18.448
454,78.012,Baie-Saint-Paul,47.44,-70.51,2.941,17.583
455,75.904,Beauport,46.87,-71.18,2.254,17.337
456,73.713,Bedford,45.12,-72.99,0.2,16.685
457,73.808,Beloeil,45.57,-73.2,0.585,16.41
458,73.823,Brome,45.19,-72.57,0.356,16.947
459,73.458,Brossard,45.46,-73.47,0.424,16.262
460,73.511,Buckingham,45.59,-75.42,0.162,14.915
461,74.247,Campbell's Bay,45.73,-76.6,0.08,14.082
462,74.039,Chambly,45.45,-73.29,0.452,16.386
463,75.503,Coaticook,45.13,-71.8,0.467,17.481
464,74.548,Contrecoeur,45.86,-73.24,0.854,16.297
465,73.898,Cowansville,45.21,-72.74,0.339,16.826
466,72.675,Deux-Montagnes,45.54,-73.89,0.415,15.957
467,76.011,Dolbeau,48.88,-72.23,3.939,16.033
468,74.604,Drummondville,45.88,-72.48,1.032,16.796
469,73.282,Farnham,45.28,-72.98,0.355,16.644
470,73.672,Fort-Coulonge,45.84,-76.73,0.163,13.967
471,76.083,Gagnon,51.93,-68.17,7.677,17.46
472,75.607,Gaspé,48.82,-64.48,5.69,20.838
473,72.871,Gatineau,45.43,-75.71,-0.046,14.762
474,73.372,Gracefield,46.1,-76.05,0.537,14.356
475,73.552,Granby,45.4,-72.72,0.524,16.782
476,81.239,Harrington-Harbour,50.5,-59.48,8.589,23.066
477,76.971,Havre-St-Pierre,50.25,-63.59,7.232,20.788
478,73.407,Hemmingford,45.05,-73.59,0.007,16.302
479,72.871,Hull,45.43,-75.71,-0.046,14.762
480,73.899,Iberville,45.3,-73.23,0.321,16.47
481,78.18,Inukjuak,58.45,-78.1,12.166,9.984
482,73.662,Joliette,46.02,-73.44,0.965,16.117
483,75.137,Kuujjuaq,58.1,-68.4,13.385,15.071
484,76.51,Kuujjuarapik,55.28,-77.76,9.139,10.959
485,76.092,La Pocatière,47.37,-70.03,2.983,17.913
486,73.576,Lachute,45.66,-74.34,0.439,15.621
487,76.081,Lac-Mégantic,45.57,-70.88,1.09,17.954
488,75.686,La-Malbaie,47.65,-70.15,3.22,17.743
489,72.853,La-Tuque,47.44,-72.78,2.456,16.125
490,75.045,Lennoxville,45.37,-71.86,0.682,17.366
491,72.681,Léry,45.34,-73.81,0.24,16.069
492,74.916,Loretteville,46.85,-71.36,2.195,17.227
493,74.483,Louiseville,46.26,-72.94,1.298,16.376
494,73.828,Magog,45.26,-72.15,0.514,17.207
495,73.954,Malartic,48.14,-78.13,2.156,12.473
496,73.744,Maniwaki,46.37,-75.98,0.81,14.331
497,73.315,Masson,45.54,-75.41,0.116,14.935
498,73.176,Matane,48.84,-67.53,4.943,18.966
499,74.91,Mont-Joli,48.59,-68.19,4.553,18.649
500,73.928,Mont-Laurier,46.55,-75.5,1.072,14.602
501,76.44,Montmagny,46.98,-70.56,2.495,17.702
502,72.504,Beaconsfield,45.42,-73.87,0.304,16.005
503,71.579,Dorval,46.44,-73.73,1.308,15.802
504,72.615,Laval,45.55,-73.75,0.453,16.048
505,72.833,Montréal (city hall),45.51,-73.55,0.455,16.194
506,73.115,Montréal-Est,45.63,-73.52,0.576,16.179
507,72.883,Montréal-Nord,45.59,-73.64,0.513,16.11
508,72.764,Outremont,45.51,-73.61,0.443,16.153
509,71.891,Pierrefonds,45.5,-73.85,0.385,15.995
510,72.862,St-Lambert,45.5,-73.51,0.454,16.223
511,72.265,St-Laurent,45.51,-73.68,0.429,16.107
512,72.504,Ste-Anne-de-Bellevue,45.4,-73.95,0.268,15.957
513,72.764,Verdun,45.46,-73.57,0.403,16.195
514,75.447,Nicolet (Gentilly),46.4,-72.28,1.57,16.768
515,76.228,Nitchequon,53.19,-70.91,8.289,15.443
516,72.727,Noranda,48.24,-79.02,2.114,11.872
517,78.613,Percé,48.52,-64.21,5.487,21.122
518,72.827,Pincourt,45.36,-73.98,0.224,15.949
519,75.387,Plessisville,46.22,-71.77,1.508,17.159
520,77.612,Port-Cartier,50.02,-66.88,6.196,18.924
521,77.653,Puvinrituq,60.04,-77.27,13.812,9.998
522,74.256,Ancienne-Lorette,46.8,-71.36,2.148,17.243
523,75.088,Lévis,46.76,-71.24,2.136,17.334
524,75.49,Québec,46.81,-71.21,2.19,17.337
525,75.088,Sillery,46.77,-71.25,2.144,17.324
526,74.555,Ste-Foy,46.78,-71.28,2.147,17.301
527,73.974,Richmond,45.67,-72.15,0.903,17.08
528,75.227,Rimouski,48.45,-68.53,4.342,18.487
529,75.73,Rivière-du-Loup,47.84,-69.54,3.537,18.065
530,72.048,Roberval,48.52,-72.22,3.599,16.151
531,74.275,Rock-Island,45.01,-72.1,0.287,17.318
532,72.941,Rosemère,45.64,-73.79,0.531,15.995
533,72.727,Rouyn,48.24,-79.02,2.114,11.872
534,74.852,Saguenay,48.43,-71.06,3.757,16.91
535,75.347,Saguenay (Bagotville),48.34,-70.88,3.71,17.053
536,74.427,Saguenay (Jonquière),48.41,-71.25,3.697,16.797
537,74.427,Saguenay (Kénogami),48.43,-71.23,3.72,16.803
538,72.675,Saint-Eustache,45.56,-73.89,0.434,15.951
539,74.142,Saint-Jean-sur-Richelieu,45.31,-73.25,0.326,16.454
540,73.672,Salaberry-de-Valleyfield,45.26,-74.13,0.098,15.876
541,75.003,Schefferville,54.8,-66.82,10.642,17.149
542,74.834,Senneterre,48.39,-77.24,2.543,12.987
543,76.015,Sept-Îles,50.21,-66.21,6.534,19.253
544,73.028,Shawinigan,46.54,-72.75,1.604,16.417
545,74.527,Shawville,45.6,-76.49,-0.026,14.19
546,75.052,Sherbrooke,45.4,-71.89,0.704,17.337
547,74.671,Sorel,46.04,-73.11,1.052,16.33
548,75.07,Ste-Agathe-des-Monts,46.05,-74.28,0.825,15.55
549,73.838,St-Félicien,48.65,-72.45,3.675,15.966
550,75.575,St-Georges-de-Cacouna,47.92,-69.5,3.621,18.063
551,73.114,St-Hubert,45.51,-73.43,0.48,16.274
552,74.323,St-Hubert-de-Rivière-du-Loup,47.82,-69.15,3.608,18.319
553,73.69,St-Hyacinthe,45.63,-72.95,0.695,16.559
554,73.063,St-Jérôme,45.78,-74.0,0.622,15.814
555,74.323,St-Jovite,46.12,-74.6,0.83,15.317
556,73.753,St-Lazare-Hudson,45.4,-74.14,0.23,15.829
557,74.174,St-Nicolas,46.7,-71.4,2.044,17.249
558,74.005,Sutton,45.11,-72.62,0.269,16.937
559,74.047,Tadoussac,48.14,-69.72,3.778,17.85
560,73.946,Témiscaming,46.72,-79.1,0.622,12.165
561,73.284,Terrebonne,45.69,-73.63,0.611,16.087
562,76.68,Thetford Mines,46.09,-71.3,1.488,17.509
563,73.717,Thurso,45.6,-75.24,0.206,15.033
564,74.55,Trois-Rivières,46.34,-72.54,1.458,16.616
565,74.408,Val-d'Or,48.1,-77.79,2.171,12.703
566,73.58,Varennes,45.68,-73.44,0.641,16.217
567,73.79,Verchères,45.78,-73.36,0.753,16.241
568,75.473,Victoriaville,46.06,-71.96,1.315,17.084
569,73.374,Ville-Marie,47.33,-79.44,1.164,11.802
570,73.943,Wakefield,45.64,-75.93,0.115,14.558
571,73.67,Waterloo,45.34,-72.52,0.51,16.934
572,73.927,Windsor,45.57,-72.01,0.839,17.204
573,78.339,Alma,45.6,-64.95,2.606,21.818
574,75.669,Bathurst,47.62,-65.65,4.281,20.589
575,74.343,Campbellton,48.01,-66.68,4.38,19.799
576,75.475,Edmundston,47.36,-68.33,3.37,18.999
577,74.521,Fredericton,45.96,-66.64,2.488,20.591
578,75.222,Gagetown,45.78,-66.15,2.449,20.975
579,76.407,Grand Falls,47.04,-67.74,3.215,19.489
580,74.117,Miramichi,47.0,-65.57,3.73,20.878
581,77.082,Moncton,46.09,-64.76,3.109,21.748
582,73.637,Oromocto,45.84,-66.51,2.41,20.719
583,79.369,Sackville,45.89,-64.37,3.032,22.076
584,75.581,Saint Andrews ,45.07,-67.05,1.555,20.654
585,75.439,Saint George ,45.13,-66.82,1.671,20.782
586,77.072,Saint John,45.27,-66.06,2.001,21.226
587,78.042,Shippagan,47.74,-64.71,4.638,21.127
588,74.943,St. Stephen,45.19,-67.28,1.607,20.459
589,73.73,Woodstock,46.16,-67.57,2.437,19.916
590,78.723,Amherst,45.83,-64.21,3.022,22.202
591,79.797,Antigonish,45.62,-61.99,3.469,23.704
592,79.797,Bridgewater,45.62,-61.99,3.469,23.704
593,81.96,Canso,45.34,-61.0,3.513,24.452
594,79.212,Dartmouth,44.66,-63.57,2.133,23.087
595,78.599,Debert,45.44,-63.46,2.877,22.841
596,80.51,Digby,44.62,-65.76,1.481,21.671
597,76.994,Greenwood (CFB),44.98,-64.9,2.049,22.094
598,79.16,Halifax,44.65,-63.58,2.121,23.085
599,77.181,Kentville,45.08,-64.49,2.255,22.321
600,81.459,Liverpool,44.04,-64.72,1.235,22.582
601,82.053,Lockeport,43.7,-65.11,0.812,22.456
602,79.792,Louisburg,45.92,-59.97,4.351,24.845
603,78.897,Lunenburg,44.38,-64.31,1.664,22.717
604,80.106,New Glasgow,45.59,-62.64,3.25,23.303
605,80.257,North Sydney,46.21,-60.26,4.522,24.535
606,79.367,Pictou,45.68,-62.71,3.312,23.221
607,81.652,Port Hawkesbury,45.62,-61.35,3.66,24.109
608,77.997,Springhill,45.65,-64.06,2.899,22.371
609,79.968,Stewiacke,45.14,-63.35,2.634,23.034
610,80.253,Sydney,46.14,-60.2,4.477,24.603
611,78.049,Tatamagouche,45.71,-63.29,3.172,22.839
612,79.574,Truro,45.37,-63.28,2.864,22.985
613,78.204,Wolfville,45.09,-64.36,2.301,22.401
614,81.996,Yarmouth,43.84,-66.12,0.662,21.729
615,78.266,Charlottetown,46.24,-63.13,3.701,22.722
616,78.486,Souris,46.36,-62.26,4.06,23.22
617,78.427,Summerside,46.39,-63.79,3.652,22.244
618,78.161,Tignish,46.95,-64.03,4.097,21.866
619,84.037,Argentia,47.31,-53.99,7.53,27.809
620,81.437,Bonavista,48.66,-53.11,8.991,27.621
621,79.816,Buchans,48.82,-56.85,7.899,25.38
622,76.547,Cape Harrison,54.78,-57.95,12.809,21.876
623,85.335,Cape Race,46.66,-53.08,7.289,28.682
624,84.741,Channel-Port aux Basques,47.57,-59.14,6.08,24.609
625,79.152,Corner Brook,48.95,-57.95,7.67,24.675
626,80.189,Gander,48.95,-54.61,8.736,26.611
627,83.286,Grand Bank,47.1,-55.77,6.745,26.858
628,79.471,Grand Falls,48.95,-55.65,8.396,26.012
629,75.789,Happy Valley-Goose Bay,53.3,-60.34,10.849,21.304
630,83.433,Labrador City,51.37,-55.58,10.522,24.839
631,83.433,St. Anthony,51.38,-55.59,10.528,24.829
632,82.028,St. John's,47.56,-52.71,8.189,28.429
633,79.059,Stephenville,48.55,-58.56,7.129,24.503
634,75.396,Twin Falls,53.5,-64.53,9.967,18.919
635,82.455,Wabana,47.64,-52.95,8.173,28.248
636,76.055,Wabush,52.41,-66.87,8.416,18.031
637,67.843,Aishihik,61.6,-137.51,19.128,-19.087
638,70.655,Dawson,64.06,-139.44,21.686,-18.522
639,67.115,Destruction Bay,61.25,-138.8,19.144,-19.838
640,70.406,Faro,62.23,-133.36,18.732,-16.958
641,68.274,Haines Junction,60.75,-137.51,18.394,-19.541
642,68.379,Snag,62.4,-140.37,20.512,-19.858
643,70.96,Teslin,60.17,-132.72,16.758,-17.655
644,69.793,Watson Lake,60.06,-128.7,15.805,-15.817
645,68.647,Whitehorse,60.72,-135.05,17.778,-18.455
646,73.2,Aklavik,68.22,-135.01,24.319,-14.521
647,75.828,Echo Bay / Port Radium,66.05,-117.88,19.742,-8.842
648,72.833,Fort Good Hope,66.26,-128.63,21.45,-13.111
649,73.742,Fort McPherson ,67.43,-134.88,23.609,-14.903
650,71.12,Fort Providence,61.36,-117.66,15.205,-10.093
651,71.14,Fort Resolution,61.17,-113.67,14.553,-8.216
652,71.185,Fort Simpson,61.86,-121.36,16.199,-11.688
653,71.873,Fort Smith,60.01,-111.88,13.236,-7.577
654,70.972,Hay River,60.81,-115.79,14.441,-9.336
655,74.249,Inuvik,68.36,-133.73,24.209,-13.993
656,79.465,Mould Bay,76.23,-119.33,29.593,-5.97
657,71.363,Norman Wells,65.28,-126.83,20.256,-12.811
658,71.472,Rae-Edzo,62.83,-116.05,16.428,-8.939
659,74.598,Tungsten,61.95,-128.27,17.452,-14.825
660,80.373,Ulukhaqtuuq / Holman,70.74,-117.77,24.229,-7.37
661,72.365,Wrigley,63.23,-123.46,17.812,-12.169
662,68.871,Yellowknife,62.45,-114.38,15.875,-8.258
663,74.925,Alert,82.51,-62.31,36.214,5.276
664,78.548,Arctic Bay,73.03,-85.17,25.821,3.811
665,79.314,Arviat,61.11,-94.06,13.638,1.461
666,75.762,Baker Lake,64.32,-96.02,16.823,0.444
667,76.563,Eureka,79.99,-85.94,32.652,2.27
668,77.203,Igluligaarjuk / Chesterfield Inlet,63.34,-90.71,15.959,2.931
669,77.26,Iqaluit,63.75,-68.52,18.62,12.859
670,79.316,Iqaluktuuttiaq / Cambridge Bay,69.12,-105.05,21.78,-3.081
671,77.863,Isachsen,78.78,-103.53,31.342,-1.485
672,77.405,Kangiqiniq / Rankin Inlet,62.81,-92.09,15.383,2.325
673,77.248,Kanngiqtugaapik / Clyde River,70.47,-68.59,24.83,10.093
674,79.189,Kugluktuk,67.83,-115.1,21.174,-7.223
675,78.714,Nottingham Island,63.12,-77.93,16.711,8.872
676,78.281,Resolute,74.7,-94.83,27.209,0.644
677,75.477,Resolution Island,61.31,-64.87,17.032,15.488
678,76.856,Salliq / Coral Harbour,64.14,-83.17,17.198,6.266
